verdict	cle	celex	article_acte	paragraphe	intitule_acte	article	numero_ecrit	dossier	pdf	page	ligne	article_du_fonds	url_acte	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	41b426e57c4d5b60	32020L1828	4	2	Entités qualifiées	L621-7	L621-7	JORFDOLE000050427907	travail/corpus/impacts/JORFDOLE000050427907__etude-impact-1.pdf	732	Tableau de concordance de l'étude d'impact, page 732 : directive (UE) 2020/1828, Article 4 §2 — L.623-1 code de la consommation et L.621-7 code de la	L621-7 (2016-07-01) — écrit par la loi du dossier, 2025-05-03 : Les associations mentionnées à l'article L. 621-1 peuvent agir devant la juridiction civile pour […] ‖ avant, 2016-07-01 : Les associations mentionnées à l'article L. 621-1 et les organismes justifiant de leur inscription sur la liste publiée au Journal officiel de l'Un […]	https://eur-lex.europa.eu/legal-content/FR/TXT/HTML/?uri=CELEX:32020L1828#art_4	juste		sonnet-A	sonnet-B		Page 732 : même ligne « Article 4§2 » ; L.621-7 y figure aussi, même objet.	Page 732, la ligne Article 4§2 renvoie, en « disposition proposée », à L.623-1 et L.621-7 « cf. supra » ; L.621-7 (associations pouvant agir en justice) correspond aux entités qualifiées visées par l'article 4.		2026-09-24
juste	534d5423499c1cb5	32020L1828	9	7	Mesures de réparation	R623-14	R623-14	JORFDOLE000050427907	travail/corpus/impacts/JORFDOLE000050427907__etude-impact-1.pdf	746	"Tableau de concordance de l'étude d'impact, page 746 : directive (UE) 2020/1828, Article 9§7 — R.623-14 code de la consommation: ""Les consommateurs"	R623-14 (2016-07-01) — en vigueur à la loi du dossier, 2016-07-01 : Les consommateurs membres du groupe qui n'ont pas exprimé leur acceptation dans le délai et selon les modalités fixés par le juge en application des dispositions de l'article L. 623-15 et dans les conditions prévues par l'article R. 623-13 ne sont plus […]	https://eur-lex.europa.eu/legal-content/FR/TXT/HTML/?uri=CELEX:32020L1828#art_9	juste		sonnet-A	sonnet-B		Page 746 : la ligne « Article 9§7 » cite en normes existantes L.623-11, L.623-14 et « R.623-14 code de la consommation » ; R.623-14 y figure, même objet.	Page 746, la ligne Article 9§7 cite R.623-14, avec un extrait identique au texte en vigueur sur les consommateurs n'ayant pas accepté l'indemnisation individuelle.		2026-09-24
juste	56aec5ebe5e8e2af	32011L0083	11		Exercice du droit de rétractation	L121-21-2	L121-21-2	JORFDOLE000027383756	travail/corpus/impacts/JORFDOLE000027383756__etude-impact-1.pdf	151	Tableau de concordance de l'étude d'impact, page 151 : directive 2011/83/UE, Article 11 — Art. L. 121-21-2 (1er alinéa)	L121-21-2 (2014-06-14) — écrit par la loi du dossier, 2014-06-14 : Le consommateur informe le professionnel de sa décision de rétractation en lui adressant, avant l'expiration du délai prévu à l'article L. 121-21, le formulaire de rétractation mentionné au 2° du I de l'article L. 121-17 ou toute autre déclaration, dénu […]	https://eur-lex.europa.eu/legal-content/FR/TXT/HTML/?uri=CELEX:32011L0083#art_11	juste		sonnet-A	sonnet-B		Page 151 : la ligne « Article 11 » fait face à « Art. L. 121-21-2 (1er alinéa) » ; même objet.	Page 151, la ligne de l'article 11 (exercice du droit de rétractation) porte en face L. 121-21-2 (1er alinéa), dont le texte correspond aux modalités d'exercice décrites.		2026-09-24
juste	5ff94c8f42b0368d	32020L1828	2	1	Champ d’application	L623-1	L623-1	JORFDOLE000050427907	travail/corpus/impacts/JORFDOLE000050427907__etude-impact-1.pdf	728	Tableau de concordance de l'étude d'impact, page 728 : directive (UE) 2020/1828, Article 2 §1 — Articles L. 623-1 et L.621-7 du code de la consommation	L623-1 (2016-07-01) — écrit par la loi du dossier, 2018-11-25 : Une association de défense des consommateurs représentative au niveau national et agréée en appl […] ‖ avant, 2016-07-01 : Une association de défense des consommateurs représentative au niveau national et agréée en application de l'article L. 811-1 peut agir devant une  […]	https://eur-lex.europa.eu/legal-content/FR/TXT/HTML/?uri=CELEX:32020L1828#art_2	juste		sonnet-A	sonnet-B		Page 728 : la ligne « Article 2§1 » cite en normes existantes « Articles L. 623-1 et L.621-7 du code de la consommation » ; L.623-1 y figure, même objet.	Page 728, la ligne Article 2§1 cite L.623-1 parmi les normes de droit interne existantes couvrant le champ d'application consumériste de la directive.		2026-09-24
juste	66c87f149d0d8082	32011L0083	15		Effets de l’exercice du droit de rétractation sur les contrats accessoires	L121-21-7	L121-21-7	JORFDOLE000027383756	travail/corpus/impacts/JORFDOLE000027383756__etude-impact-1.pdf	156	Tableau de concordance de l'étude d'impact, page 156 : directive 2011/83/UE, Article 15 — Art. L. 121-21-7 2ème alinéa	L121-21-7 (2014-06-14) — écrit par la loi du dossier, 2014-06-14 : L'exercice du droit de rétractation met fin à l'obligation des parties soit d'exécuter le contrat à distance ou le contrat hors établissement, soit de le conclure lorsque le consommateur a fait une offre. L'exercice du droit de rétractation d'un contrat […]	https://eur-lex.europa.eu/legal-content/FR/TXT/HTML/?uri=CELEX:32011L0083#art_15	juste		sonnet-A	sonnet-B		Page 156 : la ligne « Article 15 » fait face à « Art. L. 121-21-7 2ème alinéa » ; même objet.	Page 156, la ligne de l'article 15 (effets sur les contrats accessoires) porte en face L. 121-21-7 (2e alinéa), qui traite bien de l'extinction des contrats accessoires.		2026-09-24
juste	713e997bdde0908c	32011L0083	2	7	Définitions	L121-16	L121-16	JORFDOLE000027383756	travail/corpus/impacts/JORFDOLE000027383756__etude-impact-1.pdf	136	Tableau de concordance de l'étude d'impact, page 136 : directive 2011/83/UE,  Art.2-7 — Art. L. 121-16 1°	"L121-16 (1993-07-27) — écrit par la loi du dossier, 2014-06-14 : Au sens de la présente section, sont considérés comme : 1° ""Contrat à distance"" tout contrat co […] ‖ avant, 2005-12-01 : Les dispositions de la présente sous-section s'appliquent à toute vente d'un bien ou toute fourniture d'une prestation de service conclue, sans la  […]"	https://eur-lex.europa.eu/legal-content/FR/TXT/HTML/?uri=CELEX:32011L0083#art_2	juste		sonnet-A	sonnet-B		Page 136 (tableau tourné) : la ligne « Art.2-7) Contrat à distance » de l'article 2 de la directive fait face à « Art. L. 121-16 1° » ; même objet (définition du contrat à distance).	Page 136, la ligne Art.2-7 (contrat à distance) porte en face L. 121-16 1°, qui définit bien le contrat à distance.		2026-09-24
juste	7a1d1b803a2f39af	32011L0083	12		Effets de la rétractation	L121-21-7	L121-21-7	JORFDOLE000027383756	travail/corpus/impacts/JORFDOLE000027383756__etude-impact-1.pdf	152	Tableau de concordance de l'étude d'impact, page 152 : directive 2011/83/UE, Article 12 — Art. L. 121-21-7 1er alinéa	L121-21-7 (2014-06-14) — écrit par la loi du dossier, 2014-06-14 : L'exercice du droit de rétractation met fin à l'obligation des parties soit d'exécuter le contrat à distance ou le contrat hors établissement, soit de le conclure lorsque le consommateur a fait une offre. L'exercice du droit de rétractation d'un contrat […]	https://eur-lex.europa.eu/legal-content/FR/TXT/HTML/?uri=CELEX:32011L0083#art_12	juste		sonnet-A	sonnet-B		Page 152 : la ligne « Article 12 » fait face à « Art. L. 121-21-7 1er alinéa » ; même objet.	Page 152, la ligne de l'article 12 (effets de la rétractation) porte en face L. 121-21-7 (1er alinéa), qui décrit l'extinction de l'obligation d'exécuter le contrat.		2026-09-24
juste	7e4ddbf955fd9048	32011L0083	7		Obligations formelles concernant les contrats hors établissement	L121-18	L121-18	JORFDOLE000027383756	travail/corpus/impacts/JORFDOLE000027383756__etude-impact-1.pdf	145	Tableau de concordance de l'étude d'impact, page 145 : directive 2011/83/UE, Article 7 —  Art. L. 121-18	L121-18 (1993-07-27) — écrit par la loi du dossier, 2014-06-14 : Dans le cas d'un contrat conclu hors établissement, le professionnel fournit au consommateur, s […] ‖ avant, 2010-07-25 : Sans préjudice des informations prévues par les articles L. 111-1, L. 111-2 et L. 113-3 ainsi que de celles prévues pour l'application de l'article […]	https://eur-lex.europa.eu/legal-content/FR/TXT/HTML/?uri=CELEX:32011L0083#art_7	juste		sonnet-A	sonnet-B		Page 145 : la ligne « Article 7 » (7-1, contrats hors établissement) fait face à « Art. L. 121-18 » ; même objet.	Page 145, la ligne de l'article 7 (formalisme hors établissement) porte en face L. 121-18, dont le texte correspond à la fourniture du contrat sur papier ou support durable.		2026-09-24
juste	8b269fd7ccef3b4e	32011L0083	6		Obligations d’information concernant les contrats à distance et les contrats hors établissement	L121-17	L121-17	JORFDOLE000027383756	travail/corpus/impacts/JORFDOLE000027383756__etude-impact-1.pdf	142	Tableau de concordance de l'étude d'impact, page 142 : directive 2011/83/UE, Article 6 — Art. L. 121-17 I	L121-17 (1993-07-27) — écrit par la loi du dossier, 2014-06-14 : I.-Préalablement à la conclusion d'un contrat de vente ou de fourniture de services, le profess […] ‖ avant, 2005-12-01 : Ne sont pas soumis aux dispositions de la présente section les contrats : 1° Conclus par le moyen de distributeurs automatiques ou pour des prestat […]	https://eur-lex.europa.eu/legal-content/FR/TXT/HTML/?uri=CELEX:32011L0083#art_6	juste		sonnet-A	sonnet-B		Page 142 : la ligne « Article 6 » fait face à « Art. L. 121-17 I » ; même objet.	Page 142, la ligne de l'article 6 (information précontractuelle à distance/hors établissement) porte en face L. 121-17 I, qui reprend les mêmes obligations d'information.		2026-09-24
juste	9ba2aecaa30cfb4b	32011L0083	2	8	Définitions	L121-16	L121-16	JORFDOLE000027383756	travail/corpus/impacts/JORFDOLE000027383756__etude-impact-1.pdf	136	Tableau de concordance de l'étude d'impact, page 136 : directive 2011/83/UE,  Art.2-8 — Art. L 121-16 2°	"L121-16 (1993-07-27) — écrit par la loi du dossier, 2014-06-14 : Au sens de la présente section, sont considérés comme : 1° ""Contrat à distance"" tout contrat co […] ‖ avant, 2005-12-01 : Les dispositions de la présente sous-section s'appliquent à toute vente d'un bien ou toute fourniture d'une prestation de service conclue, sans la  […]"	https://eur-lex.europa.eu/legal-content/FR/TXT/HTML/?uri=CELEX:32011L0083#art_2	juste		sonnet-A	sonnet-B		Page 136 : la ligne « Art.2-8) Contrat hors établissement » fait face à « Art. L 121-16 2° » ; même objet.	Page 136, la ligne Art.2-8 (contrat hors établissement) porte en face L. 121-16 2°, qui définit bien le contrat hors établissement.		2026-09-24
juste	9cb6662fe87d980a	32011L0083	8		Obligations formelles concernant les contrats à distance	L121-19	L121-19	JORFDOLE000027383756	travail/corpus/impacts/JORFDOLE000027383756__etude-impact-1.pdf	146	Tableau de concordance de l'étude d'impact, page 146 : directive 2011/83/UE, Article 8 — Art. L. 121-19	L121-19 (1993-07-27) — écrit par la loi du dossier, 2014-06-14 : Lorsque le contrat est conclu à distance, le professionnel fournit au consommateur, de manière  […] ‖ avant, 2010-07-25 : I.-Le consommateur doit recevoir, par écrit ou sur un autre support durable à sa disposition, en temps utile et au plus tard au moment de la livrai […]	https://eur-lex.europa.eu/legal-content/FR/TXT/HTML/?uri=CELEX:32011L0083#art_8	juste		sonnet-A	sonnet-B		Page 146 : la ligne « Article 8 » fait face à « Art. L. 121-19 » ; même objet.	Page 146, la ligne de l'article 8 (formalisme à distance) porte en face L. 121-19, dont le texte correspond à la fourniture du contrat pour les contrats à distance.		2026-09-24
juste	9e62d09b5f928483	32020L1828	2	1	Champ d’application	L621-7	L621-7	JORFDOLE000050427907	travail/corpus/impacts/JORFDOLE000050427907__etude-impact-1.pdf	728	Tableau de concordance de l'étude d'impact, page 728 : directive (UE) 2020/1828, Article 2 §1 — Articles L. 623-1 et L.621-7 du code de la consommation	L621-7 (2016-07-01) — écrit par la loi du dossier, 2025-05-03 : Les associations mentionnées à l'article L. 621-1 peuvent agir devant la juridiction civile pour […] ‖ avant, 2016-07-01 : Les associations mentionnées à l'article L. 621-1 et les organismes justifiant de leur inscription sur la liste publiée au Journal officiel de l'Un […]	https://eur-lex.europa.eu/legal-content/FR/TXT/HTML/?uri=CELEX:32020L1828#art_2	juste		sonnet-A	sonnet-B		Page 728 : même ligne « Article 2§1 » ; L.621-7 y figure aussi, même objet.	Page 728, même ligne Article 2§1 ; L.621-7 y figure également comme norme existante couvrant la sphère consumériste du champ d'application.		2026-09-24
juste	a35ab8354487fde6	32020L1828	7	5	Actions représentatives	L623-2	L623-2	JORFDOLE000050427907	travail/corpus/impacts/JORFDOLE000050427907__etude-impact-1.pdf	742	Tableau de concordance de l'étude d'impact, page 742 : directive (UE) 2020/1828, Article 7§5 — L. 623-2 code de la consommation : A l’occasion d’une	L623-2 (2016-07-01) — écrit par la loi du dossier, 2016-07-01 : L'action de groupe ne peut porter que sur la réparation des préjudices patrimoniaux résultant des dommages matériels subis par les consommateurs.	https://eur-lex.europa.eu/legal-content/FR/TXT/HTML/?uri=CELEX:32020L1828#art_7	juste		sonnet-A	sonnet-B		Page 742 : la ligne « Article 7§5 » cite en dispositions proposées « L.623-2 code de la consommation » ; même objet.	Page 742, la ligne Article 7§5 cite, en « disposition proposée », L.623-2 avec un extrait autorisant à demander la cessation du manquement en sus de la réparation ; le texte actuellement en vigueur de L.623-2, plus restrictif (réparation seule), montre qu'il s'agit du même article, visé pour extension.		2026-09-24
juste	b2996731d53fd6e7	32020L1828	9	7	Mesures de réparation	L623-14	L623-14	JORFDOLE000050427907	travail/corpus/impacts/JORFDOLE000050427907__etude-impact-1.pdf	746	"Tableau de concordance de l'étude d'impact, page 746 : directive (UE) 2020/1828, Article 9§7 — L.623-14 code de la consommation : ""Lorsque l'identité"	L623-14 (2016-07-01) — écrit par la loi du dossier, 2016-07-01 : Lorsque l'identité et le nombre des consommateurs lésés sont connus et lorsque ces consommateurs ont subi un préjudice d'un même montant, d'un montant identique par prestation rendue ou d'un montant identique par référence à une période ou à une durée, le […]	https://eur-lex.europa.eu/legal-content/FR/TXT/HTML/?uri=CELEX:32020L1828#art_9	juste		sonnet-A	sonnet-B		Page 746 : même ligne « Article 9§7 » ; L.623-14 y figure aussi, même objet.	Page 746, même ligne Article 9§7 que R.623-14 ; L.623-14 y figure aussi, avec un extrait identique au texte en vigueur.		2026-09-24
juste	b3bfa257814b9fce	32011L0083	10		Défaut d’information sur le droit de rétractation	L121-21-1	L121-21-1	JORFDOLE000027383756	travail/corpus/impacts/JORFDOLE000027383756__etude-impact-1.pdf	151	Tableau de concordance de l'étude d'impact, page 151 : directive 2011/83/UE, Article 10 — Art. L. 121-21-1	L121-21-1 (2014-06-14) — écrit par la loi du dossier, 2014-06-14 : Lorsque les informations relatives au droit de rétractation n'ont pas été fournies au consommateur dans les conditions prévues au 2° du I de l'article L. 121-17, le délai de rétractation est prolongé de douze mois à compter de l'expiration du délai de r […]	https://eur-lex.europa.eu/legal-content/FR/TXT/HTML/?uri=CELEX:32011L0083#art_10	juste		sonnet-A	sonnet-B		Page 151 : la ligne « Article 10 » fait face à « Art. L. 121-21-1 » ; même objet.	Page 151, la ligne de l'article 10 (défaut d'information sur la rétractation) porte en face L. 121-21-1, dont le texte prolonge le délai de rétractation en cas de défaut d'information, comme le prévoit l'article 10.		2026-09-24
juste	b53b25ca5420ba36	32011L0083	2	10	Définitions	L121-16	L121-16	JORFDOLE000027383756	travail/corpus/impacts/JORFDOLE000027383756__etude-impact-1.pdf	137	Tableau de concordance de l'étude d'impact, page 137 : directive 2011/83/UE,  Art.2-10 — Art. L. 121-16 3°	"L121-16 (1993-07-27) — écrit par la loi du dossier, 2014-06-14 : Au sens de la présente section, sont considérés comme : 1° ""Contrat à distance"" tout contrat co […] ‖ avant, 2005-12-01 : Les dispositions de la présente sous-section s'appliquent à toute vente d'un bien ou toute fourniture d'une prestation de service conclue, sans la  […]"	https://eur-lex.europa.eu/legal-content/FR/TXT/HTML/?uri=CELEX:32011L0083#art_2	juste		sonnet-A	sonnet-B		Page 137 : la ligne « Art.2-10) Support durable » fait face à « Art. L. 121-16 3° » ; même objet.	Page 137, la ligne Art.2-10 (support durable) porte en face L. 121-16 3°, qui définit bien le support durable.		2026-09-24
juste	be221d2bdfc8fa05	32020L1828	4	2	Entités qualifiées	L623-1	L623-1	JORFDOLE000050427907	travail/corpus/impacts/JORFDOLE000050427907__etude-impact-1.pdf	732	Tableau de concordance de l'étude d'impact, page 732 : directive (UE) 2020/1828, Article 4 §2 — L.623-1 code de la consommation et L.621-7 code de la	L623-1 (2016-07-01) — écrit par la loi du dossier, 2018-11-25 : Une association de défense des consommateurs représentative au niveau national et agréée en appl […] ‖ avant, 2016-07-01 : Une association de défense des consommateurs représentative au niveau national et agréée en application de l'article L. 811-1 peut agir devant une  […]	https://eur-lex.europa.eu/legal-content/FR/TXT/HTML/?uri=CELEX:32020L1828#art_4	juste		sonnet-A	sonnet-B		Page 732 : la ligne « Article 4§2 » cite en dispositions proposées « L.623-1 code de la consommation et L.621-7 code de la consommation (cf. supra) » ; L.623-1 y figure, même objet.	Page 732, même ligne Article 4§2 que L.621-7 ; L.623-1 y figure aussi en « disposition proposée » « cf. supra », et son texte correspond aux associations agréées visées par l'article 4.		2026-09-24
