verdict	cle	chambre	amendement	sort	auteur	dossier	article	segment	longueur_fenetre	vise	nb_segments_fenetre	fenetre	dispositif	segment_texte	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	6dd225647f4290b7	assemblee	526	Adopté	LE GOUVERNEMENT	JORFDOLE000027383756	L312-9	LEGIARTI000028748108:4	60	sans visée	4	délai de douze mois à compter de la signature de l'offre de	Rédiger ainsi cet article : « I. – L’article L. 312‑9 du code de la consommation, dans sa rédaction issue de la loi n° 2013‑672 du 26 juillet 2013 de séparation et de régulation des activités bancaires, est ainsi modifié : « a) Au premier alinéa, les mots : « l’adhésion à » et les mots : « de groupe qu’il a souscrit » sont supprimés. « b) Au troisième alinéa, le mot : « ou » est remplacé par le si […]	Jusqu'à la signature par l'emprunteur de l'offre définie à l'article L. 312-7, le prêteur ne peut pas refuser en garantie un autre contrat d'assurance dès lors que ce contrat présente un niveau de garantie équivalent au contrat d'assurance de groupe qu'il propose. Il en est de même lorsque l'emprunteur fait usage du droit de résiliation mentionné au premier alinéa de l'article L. 113-12-2 du code  […]										
juste	6f133da8cfab9e44	assemblee	768	Adopté	M. Frédéric Barbier	JORFDOLE000027383756	L111-1	LEGIARTI000028747416:4	60	sans visée	1	pour autant qu'elles ne ressortent pas du contexte, ainsi qu	À l’alinéa 8, après le mot : « activités, » insérer les mots : « pour autant qu’elles ne ressortent pas du contexte, ainsi que, s’il y a lieu, celles relatives ».	4° Les informations relatives à son identité, à ses coordonnées postales, téléphoniques et électroniques et à ses activités, pour autant qu'elles ne ressortent pas du contexte, ainsi que, s'il y a lieu, celles relatives aux garanties légales, aux fonctionnalités du contenu numérique et, le cas échéant, à son interopérabilité, à l'existence et aux modalités de mise en œuvre des garanties et aux aut […]										
juste	7151b086c7aa5d07	senat	376 rect. bis	Adopté	Mme LÉTARD	JORFDOLE000027383756	L311-16	LEGIARTI000032237390:8	60	sans visée	1	, le prêteur suspend à cette date le droit d'utilisation du	Après l’alinéa 4 Insérer un alinéa ainsi rédigé : …° À l’avant‑dernière phrase de l’avant-dernier alinéa, les mots : « ce dernier est résilié de plein droit à cette date » sont remplacés par les mots et deux phrases ainsi rédigées : « , le prêteur suspend à cette date le droit d’utilisation du crédit par l’emprunteur. Ladite suspension ne peut être levée qu’à la demande de l’emprunteur et après vé […]	Si, pendant un an, le contrat d'ouverture de crédit ou tout moyen de paiement associé n'ont fait l'objet d'aucune utilisation, le prêteur qui entend proposer la reconduction du contrat adresse à l'emprunteur, à l'échéance de l'année écoulée, un document annexé aux conditions de cette reconduction. Ce document indique l'identité des parties, la nature de l'opération, le montant du crédit disponible […]	//www.senat.fr/amendements/2012-2013/810/Amdt_376.html									
juste	7387f04079858048	assemblee	29	Adopté	M. Arnaud Leroy	JORFDOLE000031978450	L412-6	LEGIARTI000032744957:1	60	sans visée	1	les modalités de mise en œuvre du présent article sont fixée	Compléter cet article par l’alinéa suivant : « Les modalités de mise en œuvre du présent article sont fixées par décret. »	Les modalités de mise en œuvre du présent article sont fixées par décret.										
juste	742e12bfe4eee9b6	assemblee	40	Adopté	M. Frédéric Barbier	JORFDOLE000027383756	L121-42	LEGIARTI000028744497:6	60	sans visée	1	canisme de signalement impose à l'opérateur de vérifier les	Substituer à l’alinéa 8 les cinq alinéas suivants : « L’opérateur mentionné au premier alinéa prévoit dans le contrat avec l’abonné auquel il affecte un numéro à valeur ajoutée, sous peine de résiliation, que l’abonné l’informe de toute modification concernant son identité et son adresse, lesquelles doivent figurer dans le contrat. « Ce même contrat prévoit également, sous peine de la suspension d […]	Un mécanisme de signalement impose à l'opérateur de vérifier les renseignements présents dans l'outil afin de procéder en cas d'inexactitude à la suspension de l'accès au numéro et, le cas échéant, à la résiliation prévues au sixième alinéa.										
juste	750507e93850cd78	assemblee	640	Adopté	M. Razzy Hammadi	JORFDOLE000027383756	L141-1	LEGIARTI000028748275:44	60	sans visée	1	ainsi qu'aux fournisseurs d'un service téléphonique au publi	À l’alinéa 36, après la dernière occurrence de la référence : « I », insérer les mots : « ainsi qu’aux fournisseurs d’un service téléphonique au public au sens du 7° de l’article L. 32 du code des postes et des communications électroniques ».	3° Demander à l'autorité judiciaire, comme prévu au 8 du I de l'article 6 de la loi n° 2004-575 du 21 juin 2004 pour la confiance dans l'économie numérique, en cas d'infraction ou de manquement aux dispositions mentionnées aux I à III du présent article, de prescrire en référé ou sur requête à toute personne mentionnée au 2 du I du même article 6 ou, à défaut, à toute personne mentionnée au 1 du m […]										
juste	7560484633519846	senat	89	Adopté	M. HYEST	JORFDOLE000017760141	L331-2	LEGIARTI000006292625:1	60	oui, par renumérotation	1	ne justifiant d'une expérience dans le domaine de l'économie	Rédiger comme suit le 1° du II de cet article : II. - 1° L'article L. 331-1 est complété par un alinéa ainsi rédigé : « Une personne justifiant d'une expérience dans le domaine de l'économie sociale et familiale est associée à l'instruction du dossier et assiste aux réunions de la commission de surendettement avec voix consultative. »	Le montant des remboursements résultant de l'application des articles L. 331-6 ou L. 331-7 est fixé, dans des conditions précisées par décret, par référence à la quotité saisissable du salaire telle qu'elle résulte de l'article L. 145-2 du code du travail, de manière à ce qu'une partie des ressources nécessaire aux dépenses courantes du ménage lui soit réservée par priorité. Cette part de ressourc […]	//www.senat.fr/amendements/2002-2003/398/Amdt_89.html									
juste	769e19fc59f2fa19	assemblee	522	Adopté	LE GOUVERNEMENT	JORFDOLE000027383756	L121-36-1	LEGIARTI000028744931:0	60	sans visée	1	autorisés les frais d'affranchissement ainsi que les frais	I. – Substituer à l’alinéa 10 les deux alinéas suivants : « I bis. – La section 6 du chapitre Ier du titre II du livre Ier du code de la consommation est ainsi modifiée : « 1° L’article L. 121‑36 est ainsi rédigé : ». II. – En conséquence, après l’alinéa 12, insérer les quatre alinéas suivants : « 2° Après l’article L. 121‑36, est inséré un article L. 121‑36‑1 ainsi rédigé : « Art. L. 121‑36‑1. –  […]	Pour la participation aux opérations mentionnées à l'article L. 121-36, sont autorisés les frais d'affranchissement ainsi que les frais de communication ou de connexion non surtaxés, qui peuvent être mis à la charge des consommateurs, dès lors que la possibilité pour les participants d'en obtenir le remboursement est prévue par le règlement de l'opération et que ceux-ci en sont préalablement infor […]										
juste	76b7fb60e0676e77	senat	661 rect.	Adopté	LE GOUVERNEMENT	JORFDOLE000027383756	L215-3	LEGIARTI000028748328:3	60	oui, par renumérotation	2	les agents peuvent exiger la communication et obtenir ou pre	Après l’article 37 Insérer un article additionnel ainsi rédigé : L'article L. 218-1 du code de la consommation est ainsi modifié : 1° Au premier alinéa, les mots : « , en présence de l’occupant des lieux ou de son représentant, » et les mots : « auprès du professionnel, qui est tenu de les fournir, » sont supprimés ; 2° Il est ajouté trois alinéas ainsi rédigés : « Les agents peuvent exiger la com […]	Les agents peuvent exiger la communication et obtenir ou prendre copie par tout moyen et sur tout support ou procéder à la saisie des documents de toute nature, entre quelques mains qu'ils se trouvent, propres à faciliter l'accomplissement de leur mission et la mise à leur disposition des moyens indispensables pour effectuer leurs vérifications. Ils peuvent requérir l'ouverture de tout emballage.	//www.senat.fr/amendements/2012-2013/810/Amdt_661.html									
juste	7783f0e4b1fe0d91	assemblee	993	Adopté	LE GOUVERNEMENT	JORFDOLE000027383756	L116-1	LEGIARTI000028743109:4	60	sans visée	1	e tenter de faire croire qu'un produit assorti d'une indicat	Compléter cet article par les treize alinéas suivants : « II. - Le titre I du livre I du code de la consommation, est complété par un chapitre VI ainsi rédigé : « Chapitre VI » « Dispositions relatives à l’outre-mer « Art. L. 116‑1.- L’article L. 115‑16 est applicable dans les îles Wallis et Futuna dans la rédaction suivante : « Est puni de deux ans d’emprisonnement et d’une amende de 35 800 000 f […]	"""4° De faire croire ou de tenter de faire croire qu'un produit assorti d'une indication géographique est garanti par l'Etat ou par un organisme public ;"										
juste	78f7b0f4011b7e2b	senat	268	Adopté	M. PONIATOWSKI	JORFDOLE000022095875	L121-86	LEGIARTI000023182024:0	60	sans visée	1	ssionnel pour une puissance électrique égale ou inférieure à	Alinéa 2 Rédiger ainsi cet alinéa : 1° L'article L. 121‑86 est complété par les mots : « , ainsi qu'aux contrats souscrits par un non‑professionnel pour une puissance électrique égale ou inférieure à 36 kilovoltampères ou pour une consommation de gaz naturel inférieure à 30 000 kilowattheures par an » ;	Les dispositions de la présente section s'appliquent aux contrats souscrits par un consommateur avec un fournisseur d'électricité ou de gaz naturel, ainsi qu'aux contrats souscrits par un non-professionnel pour une puissance électrique égale ou inférieure à 36 kilovoltampères ou pour une consommation de gaz naturel inférieure à 30 000 kilowattheures par an.	//www.senat.fr/amendements/2009-2010/644/Amdt_268.html									
juste	797cd54d0435f731	assemblee	2	Adopté	M. Razzy Hammadi	JORFDOLE000027383756	L121-34	LEGIARTI000028747663:4	60	oui	1	nistre chargé de l'économie désigne par arrêté l'organisme c	I. - Supprimer les alinéas 70 à 77 et l’alinéa 129 ; II. – A l’alinéa 78, remplacer la référence « L. 121-20-2 » par la référence « L. 121-20-1 » ; III. – A l’alinéa 79, remplacer la référence « L. 121-20-3 » par la référence « L. 121-20-2 » ; IV. - Compléter l’article 5 par les alinéas suivants : « III. – La section 4 du même chapitre Ier est ainsi rédigé : « Section 4 « Régime d’opposition au dé […]	Le ministre chargé de l'économie désigne par arrêté l'organisme chargé de la gestion de la liste d'opposition au démarchage téléphonique, après mise en concurrence, pour une durée fixée par voie réglementaire.										
juste	7999726ef350ed9e	senat	190 rect. ter	Adopté	M. VINCENT	JORFDOLE000026795365	L312-3-1	LEGIARTI000027759656:0	60	oui	1	s emprunteurs, personnes physiques n'agissant pas pour des b	Après l’article 17 Insérer un article additionnel ainsi rédigé : La section 1 du chapitre II du titre I er du livre III du code de la consommation est complétée par un article L. 312-3-1 ainsi rédigé : « Art. L. 312-3-1 – Les emprunteurs, personnes physiques n'agissant pas pour des besoins professionnels, ne peuvent contracter de prêts libellés dans une devise étrangère à l'Union européenne rembou […]	Les emprunteurs, personnes physiques n'agissant pas pour des besoins professionnels, ne peuvent contracter de prêts libellés dans une devise étrangère à l'Union européenne remboursables en monnaie nationale que s'ils déclarent percevoir principalement leurs revenus ou détenir un patrimoine dans cette devise au moment de la signature du contrat de prêt, excepté si le risque de change n'est pas supp […]	//www.senat.fr/amendements/2012-2013/423/Amdt_190.html									
juste	7aa851b8fe429554	assemblee	30	Adopté	M. Jean-Louis Bricout	JORFDOLE000027383756	L121-111	LEGIARTI000028741268:0	60	sans visée	1	omme versée d'avance par le consommateur au professionnel do	I. – Après l’alinéa 35, insérer les vingt-cinq alinéas suivants : « Section 17 « Contrats relatifs au gaz de pétrole liquéfié « Art. L. 121‑105. – Les dispositions de la présente section s’appliquent aux contrats souscrits par un consommateur ayant pour objet la fourniture de gaz de pétrole liquéfié en vrac, la mise à disposition ou la vente de matériels de stockage de gaz de pétrole liquéfié en v […]	Toute somme versée d'avance par le consommateur au professionnel doit lui être restituée, sous réserve du paiement des factures restant dues, au plus tard dans un délai de trente jours à compter du paiement de la dernière facture.										
juste	7c39212ebae80992	assemblee	2	Adopté	M. Razzy Hammadi	JORFDOLE000027383756	L121-34	LEGIARTI000028747663:0	60	oui	1	nsommateur qui ne souhaite pas faire l'objet de prospection	I. - Supprimer les alinéas 70 à 77 et l’alinéa 129 ; II. – A l’alinéa 78, remplacer la référence « L. 121-20-2 » par la référence « L. 121-20-1 » ; III. – A l’alinéa 79, remplacer la référence « L. 121-20-3 » par la référence « L. 121-20-2 » ; IV. - Compléter l’article 5 par les alinéas suivants : « III. – La section 4 du même chapitre Ier est ainsi rédigé : « Section 4 « Régime d’opposition au dé […]	Le consommateur qui ne souhaite pas faire l'objet de prospection commerciale par voie téléphonique peut gratuitement s'inscrire sur une liste d'opposition au démarchage téléphonique.										
douteux	7c40cc1da2af7796	assemblee	217	Adopté	Mme Sabine Buis	JORFDOLE000029310724	L213-4-1	LEGIARTI000031053376:2	60	sans visée	1	nde peut être porté, de manière proportionnée aux avantages	I. – Supprimer la seconde phrase de l’alinéa 6. II. – En conséquence, après l’alinéa 6, insérer l'alinéa suivant : « III. – Le montant de cette amende peut être porté, de manière proportionnée aux avantages tirés de la mise en œuvre de ces techniques, à 5 % du chiffre d’affaires hors taxes le plus élevé réalisé en France au cours de l’un des exercices clos depuis l’exercice précédent celui au cour […]	III.-Le montant de l'amende peut être porté, de manière proportionnée aux avantages tirés du manquement, à 5 % du chiffre d'affaires moyen annuel, calculé sur les trois derniers chiffres d'affaires annuels connus à la date des faits.										
juste	7c7dec22c013d8ae	assemblee	30	Adopté	M. Jean-Louis Bricout	JORFDOLE000027383756	L121-109	LEGIARTI000028741264:0	60	sans visée	1	t tenu à une obligation d'information du consommateur sur la	I. – Après l’alinéa 35, insérer les vingt-cinq alinéas suivants : « Section 17 « Contrats relatifs au gaz de pétrole liquéfié « Art. L. 121‑105. – Les dispositions de la présente section s’appliquent aux contrats souscrits par un consommateur ayant pour objet la fourniture de gaz de pétrole liquéfié en vrac, la mise à disposition ou la vente de matériels de stockage de gaz de pétrole liquéfié en v […]	Tout professionnel proposant les contrats mentionnés à l'article L. 121-106 est tenu à une obligation d'information du consommateur sur la sécurité pendant la durée d'exécution du contrat, dans des conditions définies par arrêté conjoint des ministres chargés de la consommation, de l'énergie et de la sécurité des équipements sous pression.										
juste	7cdde01fef2b1b68	assemblee	526	Adopté	LE GOUVERNEMENT	JORFDOLE000027383756	L312-9	LEGIARTI000027783139:4	60	sans visée	4	délai de douze mois à compter de la signature de l'offre de	Rédiger ainsi cet article : « I. – L’article L. 312‑9 du code de la consommation, dans sa rédaction issue de la loi n° 2013‑672 du 26 juillet 2013 de séparation et de régulation des activités bancaires, est ainsi modifié : « a) Au premier alinéa, les mots : « l’adhésion à » et les mots : « de groupe qu’il a souscrit » sont supprimés. « b) Au troisième alinéa, le mot : « ou » est remplacé par le si […]	Jusqu'à la signature par l'emprunteur de l'offre définie à l'article L. 312-7, le prêteur ne peut pas refuser en garantie un autre contrat d'assurance dès lors que ce contrat présente un niveau de garantie équivalent au contrat d'assurance de groupe qu'il propose. Il en est de même lorsque l'emprunteur fait usage du droit de résiliation mentionné au premier alinéa de l'article L. 113-12-2 du code  […]										
