strate,num_article,id_legi,date_debut,article_predecesseur,texte_producteur_version_en_vigueur,texte_origine,nature_origine,id_dole_origine,legislature_origine,indice_expose_nomme_article,indice_etude_impact_nomme_article,ANNOT_document,ANNOT_offset_debut,ANNOT_offset_fin,ANNOT_passage_cite,ANNOT_verdict,ANNOT_commentaire
eligible_L12_L15,L242-36,LEGIARTI000032226258,2016-07-01,L121-104,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,0,0,,,,,,
eligible_L12_L15,L521-10,LEGIARTI000032224949,2016-07-01,L218-5,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,0,1,,,,,,
eligible_L12_L15,L453-1,LEGIARTI000032225261,2016-07-01,L115-16,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,0,1,,,,,,
eligible_L12_L15,L224-113,LEGIARTI000043960641,2023-01-01,,LOI n°2021-1104 du 22 août 2021,LOI n°2021-1104 du 22 août 2021,LOI,JORFDOLE000043113774,15,0,0,,,,,,
eligible_L12_L15,L111-4-1,LEGIARTI000043960416,2023-01-01,,LOI n°2021-1104 du 22 août 2021,LOI n°2021-1104 du 22 août 2021,LOI,JORFDOLE000043113774,15,0,0,,,,,,
eligible_L12_L15,L313-30,LEGIARTI000045271935,2022-06-01,L312-9,LOI n°2022-270 du 28 février 2022,LOI n°2013-672 du 26 juillet 2013,LOI,JORFDOLE000026795365,14,0,1,,,,,,
eligible_L12_L15,L312-48,LEGIARTI000032226084,2016-07-01,L311-31,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2010-737 du 1er juillet 2010,LOI,JORFDOLE000020542090,13,0,0,,,,,,
eligible_L12_L15,L122-25,LEGIARTI000044328688,2021-11-17,,LOI n°2021-1485 du 15 novembre 2021,LOI n°2021-1485 du 15 novembre 2021,LOI,JORFDOLE000042956321,15,0,0,,,,,,
eligible_L12_L15,L312-88,LEGIARTI000035731457,2018-04-01,L311-44,Ordonnance n°2017-1433 du 4 octobre 2017,LOI n°2010-737 du 1er juillet 2010,LOI,JORFDOLE000020542090,13,0,0,,,,,,
eligible_L12_L15,L224-74,LEGIARTI000032226539,2016-07-01,L121-64,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2009-888 du 22 juillet 2009,LOI,JORFDOLE000020213483,13,0,0,,,,,,
eligible_L12_L15,L224-99,LEGIARTI000034072650,2017-02-23,L121-102,LOI n°2017-203 du 21 février 2017,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,0,0,,,,,,
eligible_L12_L15,L312-32,LEGIARTI000035731414,2018-04-01,L311-25-1,Ordonnance n°2017-1433 du 4 octobre 2017,LOI n°2010-737 du 1er juillet 2010,LOI,JORFDOLE000020542090,13,0,0,,,,,,
eligible_L12_L15,L433-4,LEGIARTI000032225352,2016-07-01,L115-28,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2008-776 du 4 août 2008,LOI,JORFDOLE000018730653,13,0,0,,,,,,
eligible_L12_L15,L224-62-1,LEGIARTI000045205500,2022-02-23,,LOI n°2022-217 du 21 février 2022,LOI n°2022-217 du 21 février 2022,LOI,JORFDOLE000043496065,15,0,0,,,,,,
eligible_L12_L15,L242-14,LEGIARTI000042155949,2020-07-26,L121-34-2,LOI n°2020-901 du 24 juillet 2020,LOI n°2014-1545 du 20 décembre 2014,LOI,JORFDOLE000029134377,14,0,0,,,,,,
eligible_L12_L15,L224-38,LEGIARTI000043545725,2021-05-28,L121-84-5,Ordonnance n°2021-650 du 26 mai 2021,LOI n°2011-525 du 17 mai 2011,LOI,JORFDOLE000021369332,13,0,0,,,,,,
eligible_L12_L15,L111-2,LEGIARTI000032227350,2016-07-01,L111-2,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,0,1,,,,,,
eligible_L12_L15,L722-16,LEGIARTI000037670142,2019-03-01,L331-3-1,LOI n°2018-1021 du 23 novembre 2018,LOI n° 2013-672 du 26 juillet 2013,LOI,JORFDOLE000026795365,14,0,0,,,,,,
eligible_L12_L15,L224-66,LEGIARTI000032226569,2016-07-01,L121-118,Ordonnance n°2016-301 du 14 mars 2016,LOI n° 2015-992 du 17 août 2015,LOI,JORFDOLE000029310724,14,0,0,,,,,,
eligible_L12_L15,L211-3,LEGIARTI000032227008,2016-07-01,L133-4,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,0,1,,,,,,
eligible_L12_L15,L312-83,LEGIARTI000032226000,2016-07-01,L311-16,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,1,1,,,,,,
eligible_L12_L15,L751-6,LEGIARTI000049398709,2024-04-11,L333-5,LOI n°2024-322 du 9 avril 2024,LOI n°2010-737 du 1er juillet 2010,LOI,JORFDOLE000020542090,13,0,0,,,,,,
eligible_L12_L15,L232-2,LEGIARTI000032226435,2016-07-01,L211-18,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,0,1,,,,,,
eligible_L12_L15,L512-21,LEGIARTI000032225081,2016-07-01,L215-3-2,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2011-525 du 17 mai 2011,LOI,JORFDOLE000021369332,13,0,0,,,,,,
eligible_L12_L15,L242-5,LEGIARTI000032226374,2016-07-01,L121-23,Ordonnance n°2016-301 du 14 mars 2016,LOI n° 2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,0,1,,,,,,
eligible_L12_L15,L451-8,LEGIARTI000032225301,2016-07-01,L121-7,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2008-3 du 3 janvier 2008,LOI,JORFDOLE000017841208,13,0,0,,,,,,
eligible_L12_L15,L521-7,LEGIARTI000032224955,2016-07-01,L218-4,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2015-990 du 6 août 2015,LOI,JORFDOLE000029883713,14,0,0,,,,,,
eligible_L12_L15,L523-1,LEGIARTI000051830361,2025-07-02,L141-2,LOI n°2025-594 du 30 juin 2025,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,0,0,,,,,,
eligible_L12_L15,L522-9,LEGIARTI000032224890,2016-07-01,L141-1-2,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2015-990 du 6 août 2015,LOI,JORFDOLE000029883713,14,0,0,,,,,,
eligible_L12_L15,L222-13,LEGIARTI000032226777,2016-07-01,L121-30,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,0,0,,,,,,
eligible_L12_L15,L732-2,LEGIARTI000032224461,2016-07-01,L331-6,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,0,0,,,,,,
eligible_L12_L15,L341-10,LEGIARTI000032225647,2016-07-01,L311-37,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2010-737 du 1er juillet 2010,LOI,JORFDOLE000020542090,13,0,0,,,,,,
eligible_L12_L15,L511-17,LEGIARTI000034072982,2017-02-23,L218-1-4,LOI n°2017-203 du 21 février 2017,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,0,0,,,,,,
eligible_L12_L15,L242-20,LEGIARTI000043545844,2021-05-28,L121-85-1,Ordonnance n°2021-650 du 26 mai 2021,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,0,1,,,,,,
eligible_L16_L17,L532-5,LEGIARTI000049571063,2024-02-17,,LOI n°2024-449 du 21 mai 2024,LOI n°2024-449 du 21 mai 2024,LOI,JORFDOLE000047533100,16,0,0,,,,,,
eligible_L16_L17,L521-3-1,LEGIARTI000049571083,2024-02-17,,LOI n°2024-449 du 21 mai 2024,LOI n°2024-449 du 21 mai 2024,LOI,JORFDOLE000047533100,16,1,0,,,,,,
eligible_L16_L17,L512-2-1,LEGIARTI000051829071,2025-07-02,,LOI n°2025-594 du 30 juin 2025,LOI n°2025-594 du 30 juin 2025,LOI,JORFDOLE000051045642,17,0,0,,,,,,
eligible_L16_L17,L312-95,LEGIARTI000047284770,2023-03-11,,LOI n°2023-171 du 9 mars 2023,LOI n°2023-171 du 9 mars 2023,LOI,JORFDOLE000046590737,16,0,0,,,,,,
eligible_L16_L17,L242-51,LEGIARTI000051828398,2025-07-02,,LOI n°2025-594 du 30 juin 2025,LOI n°2025-594 du 30 juin 2025,LOI,JORFDOLE000051045642,17,0,0,,,,,,
eligible_L16_L17,L132-2-2,LEGIARTI000046190579,2022-08-18,,LOI n°2022-1158 du 16 août 2022,LOI n°2022-1158 du 16 août 2022,LOI,JORFDOLE000046027237,16,0,0,,,,,,
eligible_L16_L17,L223-8,LEGIARTI000051828335,2025-07-02,,LOI n°2025-594 du 30 juin 2025,LOI n°2025-594 du 30 juin 2025,LOI,JORFDOLE000051045642,17,0,0,,,,,,
eligible_L16_L17,L241-1-1,LEGIARTI000051560125,2025-05-03,,LOI n°2025-391 du 30 avril 2025,LOI n°2025-391 du 30 avril 2025,LOI,JORFDOLE000050427907,17,0,0,,,,,,
eligible_L16_L17,L122-26,LEGIARTI000051828610,2025-07-02,,LOI n°2025-594 du 30 juin 2025,LOI n°2025-594 du 30 juin 2025,LOI,JORFDOLE000051045642,17,0,0,,,,,,
eligible_L16_L17,L132-14-1,LEGIARTI000051828125,2025-07-02,,LOI n°2025-594 du 30 juin 2025,LOI n°2025-594 du 30 juin 2025,LOI,JORFDOLE000051045642,17,0,0,,,,,,
origine_ordonnance,L313-10,LEGIARTI000035731505,2018-04-01,L313-8,Ordonnance n°2017-1433 du 4 octobre 2017,Ordonnance n°2016-301 du 14 mars 2016,ORDONNANCE,JORFDOLE000032223954,14,0,0,,,,,,
origine_ordonnance,L224-25-15,LEGIARTI000044132994,2021-10-01,,Ordonnance n°2021-1247 du 29 septembre 2021,Ordonnance n°2021-1247 du 29 septembre 2021,ORDONNANCE,JORFDOLE000044129891,15,0,0,,,,,,
origine_ordonnance,L224-25-12,LEGIARTI000044132956,2021-10-01,,Ordonnance n°2021-1247 du 29 septembre 2021,Ordonnance n°2021-1247 du 29 septembre 2021,ORDONNANCE,JORFDOLE000044129891,15,0,0,,,,,,
origine_ordonnance,L224-26-3,LEGIARTI000043539592,2021-05-28,,Ordonnance n°2021-650 du 26 mai 2021,Ordonnance n°2021-650 du 26 mai 2021,ORDONNANCE,JORFDOLE000043537810,15,0,0,,,,,,
origine_ordonnance,L224-103,LEGIARTI000032226467,2016-07-01,,Ordonnance n°2016-301 du 14 mars 2016,Ordonnance n°2016-301 du 14 mars 2016,ORDONNANCE,JORFDOLE000032223954,14,0,0,,,,,,
origine_ordonnance,L131-1-1,LEGIARTI000044549719,2022-05-28,,Ordonnance n°2021-1734 du 22 décembre 2021,Ordonnance n°2021-1734 du 22 décembre 2021,ORDONNANCE,JORFDOLE000044550081,15,0,0,,,,,,
origine_ordonnance,L132-25,LEGIARTI000032227039,2016-07-01,L121-14,Ordonnance n°2016-301 du 14 mars 2016,Ordonnance n°2016-301 du 14 mars 2016,ORDONNANCE,JORFDOLE000032223954,14,0,0,,,,,,
origine_ordonnance,L224-25-21,LEGIARTI000044133070,2021-10-01,,Ordonnance n°2021-1247 du 29 septembre 2021,Ordonnance n°2021-1247 du 29 septembre 2021,ORDONNANCE,JORFDOLE000044129891,15,0,0,,,,,,
origine_ordonnance,L224-25-28,LEGIARTI000044133319,2021-10-01,,Ordonnance n°2021-1247 du 29 septembre 2021,Ordonnance n°2021-1247 du 29 septembre 2021,ORDONNANCE,JORFDOLE000044129891,15,0,0,,,,,,
origine_ordonnance,L313-19,LEGIARTI000032315905,2016-07-01,,Ordonnance n°2016-351 du 25 mars 2016,Ordonnance n°2016-351 du 25 mars 2016,ORDONNANCE,JORFDOLE000032302646,14,0,0,,,,,,
origine_ordonnance,L224-9-1,LEGIARTI000043211256,2021-03-05,,Ordonnance n°2021-237 du 3 mars 2021,Ordonnance n°2021-237 du 3 mars 2021,ORDONNANCE,JORFDOLE000043212853,15,0,0,,,,,,
origine_ordonnance,L621-6,LEGIARTI000034073054,2017-02-23,L421-4,LOI n°2017-203 du 21 février 2017,Ordonnance n°2010-420 du 27 avril 2010,ORDONNANCE,JORFDOLE000022204481,13,0,0,,,,,,
origine_ordonnance,L224-25-7,LEGIARTI000044133351,2021-10-01,,Ordonnance n°2021-1247 du 29 septembre 2021,Ordonnance n°2021-1247 du 29 septembre 2021,ORDONNANCE,JORFDOLE000044129891,15,0,0,,,,,,
origine_ordonnance,L224-68-1,LEGIARTI000043371943,2021-04-16,,Ordonnance n°2021-443 du 14 avril 2021,Ordonnance n°2021-443 du 14 avril 2021,ORDONNANCE,JORFDOLE000043373684,15,0,0,,,,,,
origine_ordonnance,L425-1,LEGIARTI000045456089,2022-04-01,,Ordonnance n°2022-456 du 30 mars 2022,Ordonnance n°2022-456 du 30 mars 2022,ORDONNANCE,JORFDOLE000045446720,15,0,0,,,,,,
origine_ordonnance,L462-1,LEGIARTI000034131325,2017-07-01,,Ordonnance n°2017-269 du 2 mars 2017,Ordonnance n°2017-269 du 2 mars 2017,ORDONNANCE,JORFDOLE000034131633,14,0,0,,,,,,
origine_ordonnance,L433-11,LEGIARTI000039382262,2019-12-15,L115-33,Ordonnance n°2019-1169 du 13 novembre 2019,Ordonnance n°2006-1547 du 7 décembre 2006,ORDONNANCE,JORFDOLE000021947750,12,0,0,,,,,,
origine_ordonnance,L224-106,LEGIARTI000032226453,2016-07-01,,Ordonnance n°2016-301 du 14 mars 2016,Ordonnance n°2016-301 du 14 mars 2016,ORDONNANCE,JORFDOLE000032223954,14,0,0,,,,,,
origine_ordonnance,L241-8,LEGIARTI000044138529,2021-10-01,,Ordonnance n°2021-1247 du 29 septembre 2021,Ordonnance n°2021-1247 du 29 septembre 2021,ORDONNANCE,JORFDOLE000044129891,15,0,0,,,,,,
origine_ordonnance,L217-2,LEGIARTI000044142583,2021-10-01,L211-2,Ordonnance n°2021-1247 du 29 septembre 2021,Ordonnance n°2005-136 du 17 février 2005,ORDONNANCE,JORFDOLE000021979239,12,0,0,,,,,,
origine_ordonnance,L511-1,LEGIARTI000032225208,2016-07-01,,Ordonnance n°2016-301 du 14 mars 2016,Ordonnance n°2016-301 du 14 mars 2016,ORDONNANCE,JORFDOLE000032223954,14,0,0,,,,,,
origine_ordonnance,L315-11,LEGIARTI000032225751,2016-07-01,L314-7,Ordonnance n°2016-301 du 14 mars 2016,Ordonnance n°2006-346 du 23 mars 2006,ORDONNANCE,JORFDOLE000017760742,12,0,0,,,,,,
origine_ordonnance,L341-47,LEGIARTI000032395811,2016-07-01,L341-61,Ordonnance n°2016-351 du 25 mars 2016,Ordonnance n°2016-351 du 25 mars 2016,ORDONNANCE,JORFDOLE000032302646,14,0,0,,,,,,
origine_ordonnance,L242-18-2,LEGIARTI000044138704,2021-10-01,,Ordonnance n°2021-1247 du 29 septembre 2021,Ordonnance n°2021-1247 du 29 septembre 2021,ORDONNANCE,JORFDOLE000044129891,15,0,0,,,,,,
origine_ordonnance,L224-108,LEGIARTI000032226447,2016-07-01,,Ordonnance n°2016-301 du 14 mars 2016,Ordonnance n°2016-301 du 14 mars 2016,ORDONNANCE,JORFDOLE000032223954,14,0,0,,,,,,
loi_hors_open_data,L621-3,LEGIARTI000032224745,2016-07-01,L421-3,Ordonnance n°2016-301 du 14 mars 2016,Loi 93-949 1993-07-26 annexe JORF 27 juillet 1993,LOI,,,0,0,,,,,,
loi_hors_open_data,L413-9,LEGIARTI000034072854,2017-02-23,L217-7,,Loi 93-949 1993-07-26 annexe JORF 27 juillet 1993,LOI,,,0,0,,,,,,
loi_hors_open_data,L412-2,LEGIARTI000032225490,2016-07-01,L214-3,Ordonnance n°2016-301 du 14 mars 2016,Loi 93-949 1993-07-26 annexe JORF 27 juillet 1993,LOI,,,0,0,,,,,,
loi_hors_open_data,L413-6,LEGIARTI000034072866,2017-02-23,L217-2,,Loi n°2003-239 du 18 mars 2003,LOI,JORFDOLE000017760408,12,0,0,,,,,,
loi_hors_open_data,L431-7,LEGIARTI000032225390,2016-07-01,L115-17,Ordonnance n°2016-301 du 14 mars 2016,Loi 93-949 1993-07-26 annexe JORF 27 juillet 1993,LOI,,,0,0,,,,,,
loi_hors_open_data,L321-2,LEGIARTI000032225710,2016-07-01,L322-2,Ordonnance n°2016-301 du 14 mars 2016,Loi n°2001-1168 du 11 décembre 2001,LOI,,,0,0,,,,,,
loi_hors_open_data,L621-11,LEGIARTI000032224725,2016-07-01,L421-9,Ordonnance n°2016-301 du 14 mars 2016,Loi n°92-1336 du 16 décembre 1992,LOI,,,0,0,,,,,,
loi_hors_open_data,L451-11,LEGIARTI000032225293,2016-07-01,L217-2,Ordonnance n°2016-301 du 14 mars 2016,Loi n°2003-239 du 18 mars 2003,LOI,JORFDOLE000017760408,12,0,0,,,,,,
loi_hors_open_data,L621-1,LEGIARTI000032224749,2016-07-01,L421-1,Ordonnance n°2016-301 du 14 mars 2016,Loi 93-949 1993-07-26 annexe JORF 27 juillet 1993,LOI,,,0,0,,,,,,
loi_hors_open_data,L122-12,LEGIARTI000032227175,2016-07-01,L121-50,Ordonnance n°2016-301 du 14 mars 2016,Loi n°94-442 du 3 juin 1994,LOI,,,0,0,,,,,,
loi_hors_open_data,L313-39,LEGIARTI000038613855,2019-05-24,L312-14-1,LOI n° 2019-486 du 22 mai 2019,Loi n°99-532 du 25 juin 1999,LOI,,,0,0,,,,,,
loi_hors_open_data,L451-9,LEGIARTI000032225297,2016-07-01,L217-1,Ordonnance n°2016-301 du 14 mars 2016,Loi 93-949 1993-07-26 annexe JORF 27 juillet 1993,LOI,,,0,0,,,,,,
loi_hors_open_data,L743-2,LEGIARTI000033461409,2016-11-20,L332-12,,Loi n°2003-710 du 1 août 2003,LOI,JORFDOLE000017760141,12,0,0,,,,,,
loi_hors_open_data,L742-17,LEGIARTI000032224339,2016-07-01,L332-8,Ordonnance n°2016-301 du 14 mars 2016,Loi n°2007-290 du 5 mars 2007,LOI,JORFDOLE000017758233,12,0,0,,,,,,
loi_hors_open_data,L451-10,LEGIARTI000032225295,2016-07-01,L217-1,Ordonnance n°2016-301 du 14 mars 2016,Loi 93-949 1993-07-26 annexe JORF 27 juillet 1993,LOI,,,0,0,,,,,,
reclassement_reglementaire,L512-46,LEGIARTI000032225021,2016-07-01,R215-16,Ordonnance n°2016-301 du 14 mars 2016,DÉCRET n°2014-1109 du 30 septembre 2014,DECRET,,,0,0,,,,,,
reclassement_reglementaire,L822-2,LEGIARTI000032224241,2016-07-01,R531-2,Ordonnance n°2016-301 du 14 mars 2016,Décret n°2010-1221 du 18 octobre 2010,DECRET,,,0,0,,,,,,
reclassement_reglementaire,L512-12,LEGIARTI000032225105,2016-07-01,R215-2,Ordonnance n°2016-301 du 14 mars 2016,DÉCRET n°2014-1109 du 30 septembre 2014,DECRET,,,0,0,,,,,,
sans_origine,L222-17,LEGIARTI000034072595,2017-02-23,,,,,,,0,0,,,,,,
