strate,num_article,id_legi,date_debut,article_predecesseur,texte_producteur_version_en_vigueur,texte_origine,nature_origine,id_dole_origine,legislature_origine,indice_expose_nomme_article,indice_etude_impact_nomme_article,ANNOT_document,ANNOT_offset_debut,ANNOT_offset_fin,ANNOT_passage_cite,ANNOT_verdict,ANNOT_commentaire,source_proposee,source_declaree_en_entete,grain_du_rattachement
eligible_L12_L15,L341-44,LEGIARTI000032395753,2016-07-01,L312-33,Ordonnance n° 2016-351 du 25 mars 2016,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,0,1,JORFDOLE000027383756__r1156.asp,1127973,1131422,"Article 66 (articles L. 311-50, L. 312-33, L. 312-34, L. 312-35, L. 313-2, L. 313-5, L. 313-14-2, L. 314-16, L. 314-17, L. 322-1 et L. 322-3 du code de la consommation) Renforcement des peines applicables en matière de crédits à la consommation La logique poursuivie par le présent article est la même que celle qui présidait aux précédents ; dans l’optique d’une meilleure protection d",,,rapport de commission,1,article
eligible_L12_L15,L312-61,LEGIARTI000032226053,2016-07-01,L311-17-1,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,0,0,JORFDOLE000027383756__l12-809-1_mono.html,312187,314393," Article 19 quater A (article L. 311-17-1 du code de la consommation) - Obligation d'accord exprès du consommateur pour l'utilisation de la fonction « crédit » pour les cartes associant paiement et crédit Commentaire : cet article étend l'obligation de recueillir l'accord exprès du consommateur pour l'utilisation de la fonction « crédit » aux cartes associant paiement et crédit, au-delà des",,,rapport de commission,1,article
eligible_L12_L15,L242-36,LEGIARTI000032226258,2016-07-01,L121-104,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,0,0,JORFDOLE000027383756__r1574.asp,914442,928769,Article 11 I. - Le chapitre I er du titre II du livre I er du code de la consommation est complété par des sections 14 et 15 ainsi rédigées : I. - Le chapitre I er du titre II du livre I er du code de la consommation est complété par des sections 14 à 16 ainsi rédigées : (Alinéa sans modification) « Section 14 (Alinéa sans modification) (Alinéa sans modification,,,rapport de commission,0,article
eligible_L12_L15,L521-10,LEGIARTI000032224949,2016-07-01,L218-5,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,0,1,JORFDOLE000027383756__l12-809-1_mono.html,522550,524762," Article 41 (article L. 218-5 du code de la consommation) - Modalités de mise en conformité, destruction ou réexportation de certains produits Commentaire : cet article précise les modalités de mise en conformité, de destruction ou de réexportation de certains produits I. Le droit en vigueur L'article L. 218-5 du code de la consommation permet aux agents d'ordonner la mise e",,,rapport de commission,1,article
eligible_L12_L15,L453-1,LEGIARTI000032225261,2016-07-01,L115-16,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,0,1,JORFDOLE000027383756__l12-809-1_mono.html,449610,453045, Article 24 (articles L. 115-16 et L. 116-1 [nouveau] du code de la consommation) - Renforcement des sanctions pénales en cas de fraude aux appellations d'origine ou indications géographiques et application dans les îles Wallis et Futuna Commentaire : cet article porte de 37 500 à 300 000 euros l'amende encourue en cas d'utilisation frauduleuse des appellations d'origine et des indications ,,,rapport de commission,1,article
eligible_L12_L15,L224-113,LEGIARTI000043960641,2023-01-01,,LOI n°2021-1104 du 22 août 2021,LOI n°2021-1104 du 22 août 2021,LOI,JORFDOLE000043113774,15,0,0,,,,,,,,,
eligible_L12_L15,L111-4-1,LEGIARTI000043960416,2023-01-01,,LOI n°2021-1104 du 22 août 2021,LOI n°2021-1104 du 22 août 2021,LOI,JORFDOLE000043113774,15,0,0,JORFDOLE000043113774__l20-666-1_mono.html,293377,303762," Article 13 Obligation de disponibilité des pièces détachées étendue à de nouvelles catégories de produits Cet article étend à de nouvelles catégories de produits (outils de bricolage et de jardinage motorisés, bicyclettes, y compris à assistance électrique, et engins de déplacement personnels motorisés) l'obligation de mise à disposition de pièces détachées. À l'Assemblé",,,rapport de commission,0,article
eligible_L12_L15,L313-30,LEGIARTI000045271935,2022-06-01,L312-9,LOI n°2022-270 du 28 février 2022,LOI n°2013-672 du 26 juillet 2013,LOI,JORFDOLE000026795365,14,0,1,JORFDOLE000026795365__l12-681.html,13989,17495,"Article 18 (Art. L. 311-4, L. 311-4-1 [nouveau], L. 311-6, L. 312-6-1 [nouveau], L. 312-6-2 [nouveau], L. 312-8, L. 312-9 et L. 313-2-1 [nouveau] du code de la consommation) - Assurance-emprunteur ARTICLE 18 bis (Art. L. 331-3-1 du code de la consommation) - Maintien du contrat d'assurance-emprunteur dans le cadre d'une procédure de surendettement CHAPITRE IV - RÉFÉRENTIEL DE P",,,rapport de commission,1,article
eligible_L12_L15,L312-48,LEGIARTI000032226084,2016-07-01,L311-31,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2010-737 du 1er juillet 2010,LOI,JORFDOLE000020542090,13,0,0,JORFDOLE000020542090__l09-538_mono.html,105237,107066," Article 10 (art. L. 311-30 à L. 311-41 du code de la consommation) - Crédit affecté Objet : Cet article a pour objet de mettre en cohérence les dispositions relatives au crédit affecté avec celles de la directive communautaire. I - Le texte voté par le Sénat en première lecture En première lecture, le Sénat a adopté cet article en y apportant quelques modifications f",,,rapport de commission,1,article
eligible_L12_L15,L122-25,LEGIARTI000044328688,2021-11-17,,LOI n°2021-1485 du 15 novembre 2021,LOI n°2021-1485 du 15 novembre 2021,LOI,JORFDOLE000042956321,15,0,0,,,,,,,,,
eligible_L12_L15,L312-88,LEGIARTI000035731457,2018-04-01,L311-44,Ordonnance n°2017-1433 du 4 octobre 2017,LOI n°2010-737 du 1er juillet 2010,LOI,JORFDOLE000020542090,13,0,0,JORFDOLE000020542090__l09-538_mono.html,110927,117032," Article 12 (art. L. 311-42 à L. 311-46 du code de la consommation et art. L. 312-1-1 et L. 351-1 du code monétaire et financier) - Autorisation de découvert et dépassement Objet : Cet article transpose l'article 6 de la directive du 23 avril 2008 relatif aux opérations de découvert en prévoyant trois régimes juridiques distincts, selon la nature et la durée de celui-ci. I - Le",,,rapport de commission,1,article
eligible_L12_L15,L224-74,LEGIARTI000032226539,2016-07-01,L121-64,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2009-888 du 22 juillet 2009,LOI,JORFDOLE000020213483,13,0,0,JORFDOLE000020213483__l08-507_mono.html,243086,245279," Article 15 bis (supprimé) - Autorisation du Gouvernement à prendre par voie d'ordonnance les dispositions législatives nécessaires à la transposition complète de la directive 2008/122/CE Inséré au Sénat à l'initiative du Gouvernement pour permettre, au-delà des mesures les plus emblématiques de la directive insérées sous l'article 15 par un amendement de votre rapporteure examiné en séance p",,,rapport de commission,0,article
eligible_L12_L15,L224-99,LEGIARTI000034072650,2017-02-23,L121-102,LOI n°2017-203 du 21 février 2017,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,0,0,JORFDOLE000027383756__l12-809-1_mono.html,211106,220526," Article 11 (section 14 [article L. 121-97 nouveau], section 15 (articles L. 121-98 à L. 121-103 [nouveaux] du code de la consommation, L. 112-6 du code monétaire et financier et L. 310-2 du code de commerce) du chapitre Ier du Titre II du Livre Ier du code de la consommation) - Absence de droit de rétractation dans le cadre des contrats conclus dans les foires et salons et encadrement des ventes ",,,rapport de commission,1,article
eligible_L12_L15,L312-32,LEGIARTI000035731414,2018-04-01,L311-25-1,Ordonnance n°2017-1433 du 4 octobre 2017,LOI n°2010-737 du 1er juillet 2010,LOI,JORFDOLE000020542090,13,0,0,JORFDOLE000020542090__r2150.asp,928984,933965,"Article 14 Rédiger ainsi cet article : « I. – La section 11 du chapitre I er du titre I er du livre III du même code, telle qu’elle résulte du I de l’article 7, est intitulée : « Sanctions » et comprend les articles L. 311-47 à L. 311-49-1. « II. – A. – Le chapitre Ier du titre Ier du livre III du même code est complété par un article L. 311-47 ainsi rédigé : « Art. L. 311-47 . ",,,rapport de commission,0,article
eligible_L12_L15,L433-4,LEGIARTI000032225352,2016-07-01,L115-28,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2008-776 du 4 août 2008,LOI,JORFDOLE000018730653,13,0,0,JORFDOLE000018730653__l07-413-1_mono.html,1516787,1519803," Article additionnel après l'article 42 - (article L. 433-4 du code monétaire et financier) Elargissement de l'obligation de dépôt d'une offre publique de retrait Commentaire : le présent article a pour objet de compléter l'article L. 433-4 du code monétaire et financier, relatif aux cas et à la procédure d'offre publique de retrait, pour élargir le régime de dépôt d'une offre publique de r",,,rapport de commission,1,article
eligible_L12_L15,L224-62-1,LEGIARTI000045205500,2022-02-23,,LOI n°2022-217 du 21 février 2022,LOI n°2022-217 du 21 février 2022,LOI,JORFDOLE000043496065,15,0,0,,,,,,,,,
eligible_L12_L15,L242-14,LEGIARTI000042155949,2020-07-26,L121-34-2,LOI n°2020-901 du 24 juillet 2020,LOI n°2014-1545 du 20 décembre 2014,LOI,JORFDOLE000029134377,14,0,0,JORFDOLE000029134377__r2145.asp,631000,636682,"Article 34 (art. L. 121-15, L. 121-18-1, L. 121-22, L. 121-25 [nouveau], L. 121-34-2, L. 121-49, L. 121-87, L. 121-97, L. 121-98-1 [nouveau], L. 121-113 et L. 121-114 [nouveaux], L. 122-3, L. 141-1 du code de la consommation) Sécurisation de certaines dispositions de la loi n° 2014-344 relative à la consommation La loi n° 2014-344 du 17 mars 2014 relative à la consommation a considérableme",,,rapport de commission,1,article
eligible_L12_L15,L224-38,LEGIARTI000043545725,2021-05-28,L121-84-5,Ordonnance n°2021-650 du 26 mai 2021,LOI n°2011-525 du 17 mai 2011,LOI,JORFDOLE000021369332,13,0,0,JORFDOLE000021369332__r3112.asp,78490,81422,"Article 1 er bis (art. L. 121-84-5 et L. 121-84-7 du code de la consommation) Encadrement des relations commerciales entre opérateurs de services de communications électroniques et consommateurs Le présent article, issu d’un amendement de la commission de l’Économie du Sénat initialement présenté par M. Gérard Cornu, tend à renforcer l’encadrement des relations commerciales entre opér",,,rapport de commission,1,article
eligible_L12_L15,L111-2,LEGIARTI000032227350,2016-07-01,L111-2,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,0,1,JORFDOLE000027383756__l13-282_mono.html,61421,67019," Article 4 (articles L. 111-1 à L. 111-6, L. 112-11, L. 112-12, L. 113-3, articles L. 113-7, L. 113-8 et L. 113-9 [nouveaux] et L. 117-1 [nouveau] du code de la consommation) - Obligation générale d'information du consommateur Commentaire : cet article définit les informations que le professionnel doit communiquer au consommateur avant la conclusion de tout contrat de vente de bien ou de pr",,,rapport de commission,1,article
eligible_L12_L15,L722-16,LEGIARTI000037670142,2019-03-01,L331-3-1,LOI n°2018-1021 du 23 novembre 2018,LOI n° 2013-672 du 26 juillet 2013,LOI,JORFDOLE000026795365,14,0,0,JORFDOLE000026795365__l12-681.html,13989,17495,"Article 18 (Art. L. 311-4, L. 311-4-1 [nouveau], L. 311-6, L. 312-6-1 [nouveau], L. 312-6-2 [nouveau], L. 312-8, L. 312-9 et L. 313-2-1 [nouveau] du code de la consommation) - Assurance-emprunteur ARTICLE 18 bis (Art. L. 331-3-1 du code de la consommation) - Maintien du contrat d'assurance-emprunteur dans le cadre d'une procédure de surendettement CHAPITRE IV - RÉFÉRENTIEL DE P",,,rapport de commission,0,article
eligible_L12_L15,L224-66,LEGIARTI000032226569,2016-07-01,L121-118,Ordonnance n°2016-301 du 14 mars 2016,LOI n° 2015-992 du 17 août 2015,LOI,JORFDOLE000029310724,14,0,0,,,,,,,,,
eligible_L12_L15,L211-3,LEGIARTI000032227008,2016-07-01,L133-4,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,0,1,JORFDOLE000027383756__r1574.asp,341098,342328,"Article 12 (article L. 133-4 [nouveau] du code de la consommation) Possibilité de recourir à une médiation ou à un mode alternatif de règlement des différends DISPOSITIONS ADOPTÉES PAR L'ASSEMBLÉE NATIONALE Le nouvel article L. 133-4 du code de la consommation pose le principe selon lequel, sans que cela ne revête en aucun cas de caractère obligatoire, tout consommateur est averti, lor",,,rapport de commission,1,article
eligible_L12_L15,L312-83,LEGIARTI000032226000,2016-07-01,L311-16,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,1,1,JORFDOLE000027383756__l12-809-1_mono.html,295471,300418, Article 19 (article L. 311-16 du code de la consommation) - Suppression d'expressions ambiguës Commentaire : cet article corrige une incohérence figurant à l'article L. 311-16 du code de la consommation en remplaçant les termes de « réserve d'argent » ou « réserve de crédit » par les termes de « crédit ». I. Le droit en vigueur Le premier alinéa de l'article L. 311-16 du co,,,rapport de commission,1,article
eligible_L12_L15,L751-6,LEGIARTI000049398709,2024-04-11,L333-5,LOI n°2024-322 du 9 avril 2024,LOI n°2010-737 du 1er juillet 2010,LOI,JORFDOLE000020542090,13,0,0,JORFDOLE000020542090__r2150.asp,571331,572290,"Article 27 ter (nouveau) (article L. 335-5 du code de la consommation) Consultation du FICP Introduit par le Sénat, cet article vise à instaurer une certaine « traçabilité » de la consultation du FICP par les établissements de crédit. Or l’article L. 333-5 du code de la consommation prévoit que les modalités de collecte, d’enregistrement, de conservation et de consultation des info",,,rapport de commission,0,article
eligible_L12_L15,L232-2,LEGIARTI000032226435,2016-07-01,L211-18,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,0,1,JORFDOLE000027383756__l12-809-1_mono.html,240907,243162, Article 15 (article L. 211-18 [nouveau] du code de la consommation) - Aménagement des règles de conflit de lois concernant l'application du droit de la consommation relatif à la vente et à la garantie des biens Commentaire : cet article transpose la notion de « lien étroit » dans le code de la consommation pour mettre l'article L. 211-18 en conformité avec le droit européen. I. Le,,,rapport de commission,1,article
eligible_L12_L15,L512-21,LEGIARTI000032225081,2016-07-01,L215-3-2,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2011-525 du 17 mai 2011,LOI,JORFDOLE000021369332,13,0,0,JORFDOLE000021369332__r3112.asp,890819,901082,"Article 54 quater I. – Le code de la consommation est ainsi modifié : I. – (Alinéa sans modification) I. – (Sans modification) 1° Le troisième alinéa de l’article L. 115-31 est complété par les mots : « ou des directions régionales de l’environnement, de l’aménagement et du logement » ; 1° Au troisième alinéa de l’article L. 115-31, les mots : « directions régionales de",,,rapport de commission,0,article
eligible_L12_L15,L242-5,LEGIARTI000032226374,2016-07-01,L121-23,Ordonnance n°2016-301 du 14 mars 2016,LOI n° 2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,0,1,JORFDOLE000027383756__r1773.asp,322435,327236,"Article 64 I à VII. – Sans modification I, II, III, IV, V, VI et VII. – Sans modification VII bis (nouveau). – La section 9 du chapitre I er du titre II du livre I er du code de la consommation est ainsi modifiée : VII bis. – Alinéa sans modification 1° Au premier alinéa de l’article L. 121-79-2, le montant : « 15 000 € » est remplacé par le montant : « 150 000 € » ;",,,rapport de commission,0,article
eligible_L12_L15,L451-8,LEGIARTI000032225301,2016-07-01,L121-7,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2008-3 du 3 janvier 2008,LOI,JORFDOLE000017841208,13,0,0,JORFDOLE000017841208__l07-111_mono.html,294106,303503," Article 12 bis (nouveau) (articles L. 120-1 [nouveau], L. 121-1 à L. 121-3, L. 121-5 à L. 121-7, L. 121-15-2, L. 122-6, L. 122-11 à L. 122-15 [nouveaux], L. 141-1 et L. 141-2 du code de la consommation, et articles 19 et 20 de la loi n° 2004-575 du 21 juin 2004 pour la confiance dans l'économie numérique) - Pratiques commerciales déloyales Cet article, inséré par l'Assemblée nationale à l'in",,,rapport de commission,0,article
eligible_L12_L15,L521-7,LEGIARTI000032224955,2016-07-01,L218-4,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2015-990 du 6 août 2015,LOI,JORFDOLE000029883713,14,0,0,JORFDOLE000029883713__r2866-tII.asp,811711,822587,"Article 58 I. – Le code de la consommation est ainsi modifié : I. – (Alinéa sans modification) I. – (Alinéa sans modification) 1° Après le mot : « être », la fin du V de l’article L. 141-1-2 est ainsi rédigée : « publiée aux frais de la personne sanctionnée . Le coût total de la publication ordonnée ne peut excéder le plafond légal de la sanction encourue la plus élevée. » ;",,,rapport de commission,0,article
eligible_L12_L15,L523-1,LEGIARTI000051830361,2025-07-02,L141-2,LOI n°2025-594 du 30 juin 2025,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,0,0,JORFDOLE000027383756__r1156.asp,885988,887118,"Article 27 (article L. 141-2 du code de la consommation) Communication d’une copie du procès-verbal d’infraction Cet article précise les modalités de la procédure de transaction que peut mettre en œuvre la DGCCRF. A.— L’ÉTAT DU DROIT L’article L. 141-2 du code de la consommation prévoit que, pour les contraventions, et les délits qui ne sont pas punis d'une peine d'emprisonne",,,rapport de commission,1,article
eligible_L12_L15,L522-9,LEGIARTI000032224890,2016-07-01,L141-1-2,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2015-990 du 6 août 2015,LOI,JORFDOLE000029883713,14,0,0,JORFDOLE000029883713__r2833.asp,150372,152402,"Article 9 bis A I. – Au 13° du III de l’article L. 141-1 du code de la consommation, le mot : « deux » est remplacé par le mot : « trois ». I. – (Non modifié) II. – Le chapitre III du titre I er du livre II du code de la route est ainsi modifié : II. – Le chapitre 3 du titre 1 er du livre 2 du code de la route est ainsi modifié : 1° Après le deuxième alinéa de l’",,,rapport de commission,0,article
eligible_L12_L15,L222-13,LEGIARTI000032226777,2016-07-01,L121-30,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,0,0,JORFDOLE000027383756__r1574.asp,946516,952534,Article 16 I. - L'article L. 112-2-1 du code des assurances est ainsi modifié : (Alinéa sans modification) (Sans modification) 1° Le premier alinéa du 1° du I est ainsi rédigé : 1° Le I est ainsi modifié : a) Le 1° est ainsi rédigé : « 1° La fourniture à distance d'opérations d'assurance à un consommateur est régie par le présent livre et par le,,,rapport de commission,0,article
eligible_L12_L15,L732-2,LEGIARTI000032224461,2016-07-01,L331-6,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,0,0,JORFDOLE000027383756__l13-282_mono.html,123368,131124," Article 18 D (articles L. 331-6, L. 332-10 et L. 333-4 du code de la consommation) - Réduction de la durée des plans conventionnels de redressement (PCR) Commentaire : cet article tend à réduire à cinq ans la durée des plans conventionnels de redressement (PCR). I. Le texte adopté par le Sénat en première lecture L'article 18 D a été introduit dans le projet de loi en premi",,,rapport de commission,1,article
eligible_L12_L15,L341-10,LEGIARTI000032225647,2016-07-01,L311-37,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2010-737 du 1er juillet 2010,LOI,JORFDOLE000020542090,13,0,0,JORFDOLE000020542090__l09-538_mono.html,105237,107066," Article 10 (art. L. 311-30 à L. 311-41 du code de la consommation) - Crédit affecté Objet : Cet article a pour objet de mettre en cohérence les dispositions relatives au crédit affecté avec celles de la directive communautaire. I - Le texte voté par le Sénat en première lecture En première lecture, le Sénat a adopté cet article en y apportant quelques modifications f",,,rapport de commission,1,article
eligible_L12_L15,L511-17,LEGIARTI000034072982,2017-02-23,L218-1-4,LOI n°2017-203 du 21 février 2017,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,0,0,JORFDOLE000027383756__r1574.asp,1110351,1113846,Article 38 I. - La sous-section 1 de la section 1 du chapitre VIII du titre I er du livre II du même code est complétée par des articles L. 218-1-2 et L. 218-1-3 ainsi rédigés : I. - (Sans modification) (Sans modification) « Art. L. 218-1-2. - Les agents mentionnés au I de l'article L. 215-1 disposent des pouvoirs d'enquête prévus à l'article L. 218-1 pour procéder aux contrô,,,rapport de commission,0,article
eligible_L12_L15,L242-20,LEGIARTI000043545844,2021-05-28,L121-85-1,Ordonnance n°2021-650 du 26 mai 2021,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,0,1,JORFDOLE000027383756__r1574.asp,599484,600855,"Article 54 (articles L. 113-6 [nouveau], L. 121-15, L. 121-15-3, L. 121-41, L. 121-85-1, L. 132-2 [nouveau], L. 211-16-1 et L. 211-23 du code de la consommation) Développement des sanctions administratives DISPOSITIONS ADOPTÉES PAR L'ASSEMBLÉE NATIONALE L'article 54 du projet de loi énonce un certain nombre d'hypothèses (la non-sur-taxation du numéro de téléphone que le consommateur do",,,rapport de commission,1,article
eligible_L16_L17,L532-5,LEGIARTI000049571063,2024-02-17,,LOI n°2024-449 du 21 mai 2024,LOI n°2024-449 du 21 mai 2024,LOI,JORFDOLE000047533100,16,0,0,JORFDOLE000047533100__etude-impact-1.txt,587469,627999,"Article 26 – Mesures d’adaptation du code de la consommation 1. ÉTAT DES LIEUX 1.1. CADRE GÉNÉRAL Dans le cadre de ses enquêtes, la direction générale de la concurrence, de la consommation et de la répression des fraudes (DGCCRF) exerce ses contrôles à l’encontre des places de marché en ligne, tous produits et services confondus, au regard du respect à la fois de la règlementation sur la sécurité ",,,rapport de commission,0,article
eligible_L16_L17,L521-3-1,LEGIARTI000049571083,2024-02-17,,LOI n°2024-449 du 21 mai 2024,LOI n°2024-449 du 21 mai 2024,LOI,JORFDOLE000047533100,16,1,0,JORFDOLE000047533100__l22-777_mono.html,367253,377699," Article 26 Adaptation du code de la consommation en cohérence avec la mise en oeuvre du règlement sur les services numériques L'article 26 vise à adapter certaines dispositions du code de la consommation au règlement sur les services numériques (RSN) afin d'harmoniser les définitions et obligations des plateformes en ligne et donner à la Direction générale de la concurrence, de la consommation et",,,rapport de commission,0,article
