num_article,strate,id_legi,texte_origine,id_dole_origine,proposition_document,proposition_offset_debut,proposition_offset_fin,proposition_grain,proposition_declaree_en_entete,ANNOT_document,ANNOT_offset_debut,ANNOT_offset_fin,ANNOT_passage_cite,ANNOT_verdict,ANNOT_commentaire,proposition_jugee,annotateur,date,dossiers
L224-99,eligible_L12_L15,LEGIARTI000034072650,LOI n°2014-344 du 17 mars 2014,JORFDOLE000027383756,JORFDOLE000027383756__l12-809-1_mono.html,211106,220526,article,1,externe__L224-99__senat-amendements-pjl16-190-jeu-complet.html,5116,5766,"Cet amendement entend réintroduire une disposition consensuelle adoptée par le Sénat et l'Assemblée nationale dans le cadre de la loi relative à la transparence économique (Sapin 2) et considérée par le Conseil constitutionnel comme un cavalier législatif dans sa décision du 8 novembre dernier. Il s'agit, par cette disposition, de porter de vingt-quatre à quarante-huit heures le délai de rétractat",motive,"Version en vigueur = loi du 21 février 2017 (loi de ratification), article 3 bis issu de l'amendement Sénat n° 4 (M. Bourquin, commission des affaires économiques, séance du 21 décembre 2016, texte n° 190). Le passage cité (champ Objet de l'amendement) explique directement le dispositif de l'article : réintroduction d'une disposition consensuelle de la loi Sapin 2 censurée comme cavalier par le Conseil constitutionnel (décision du 8 novembre 2016), portant le délai de rétractation de 24 à 48 heures pour les ventes de métaux précieux, avec coordination de l'obligation de marquage au CGI. Document absent du corpus (trou : le dossier JORFDOLE000032669047 n'y contient que l'étude d'impact, l'exposé des motifs, l'avis du CE, le rapport Sénat n° 189 antérieur aux amendements, les rapports AN n° 4047 et le rapport CMP n° 4378 qui dit seulement « L'article 3 bis est adopté dans la rédaction du Sénat ») ; récupéré sur senat.fr et importé (document 19). Consulté aussi : historique complet. Origine 2014 du délai (loi Hamon, amendement CE 674 du rapporteur Hammadi, 24 h, « ventes de détresse », vulnérabilité des vendeurs d'or : rapport AN n° 1156, doc 8 ; modification Sénat 48 h puis rétablissement AN 24 h : doc 7 et doc 9). Remarque : LEGI rattache L224-99 à l'ancien L121-102, mais dans les travaux de 2014 le délai de rétractation figure à l'article L. 121-101 (L. 121-102 y étant l'amende administrative) — les mentions « L. 121-102 » trouvées dans les documents du corpus visent donc l'article voisin ; la concordance LEGI n'est déclarée que pour L121-102.",corrigee,agent:glm-5p3-flash,2026-09-19,JORFDOLE000027383756 JORFDOLE000032223954 JORFDOLE000032669047
L312-32,eligible_L12_L15,LEGIARTI000035731414,LOI n°2010-737 du 1er juillet 2010,JORFDOLE000020542090,JORFDOLE000020542090__r2150.asp,928984,933965,article,0,JORFDOLE000020542090__r2150.asp,338321,340503,"inséré par la commission spéciale du Sénat à l’initiative de Mme Brigitte Bout et de M. Laurent Béteille, vise à enrichir l’information due à l’emprunteur en cours de contrat en imposant aux prêteurs de porter à la connaissance de celui-ci, au moins une fois par an, le montant du capital restant à rembourser . Il est précisé que cette information doit figurer en caractères lisibles sur la première",motive,"Passage motivant CET article (alors L311-25-1, créé par la loi n°2010-737 du 1er juillet 2010, art. 7, doss. JORFDOLE000020542090) : le rapporteur (M. François Loos, AN n°2150) explique l’obligation annuelle d’information sur le capital restant à rembourser, sa mise en caractères lisibles en première page, et surtout l’exception de la location-vente et de la LOA — pas de capital à rembourser — deux éléments tous deux présents dans le texte en vigueur. Genèse au doc 3 (rapport Sénat n°447, commission spéciale, env. offset 528000) : à l’initiative de Mme Bout et M. Béteille, l’état annuel « rappellerait aux emprunteurs le volume de leurs engagements encore en cours et pourrait contribuer à faire davantage réfléchir le consommateur avant de s’engager dans de nouveaux emprunts ». Consulté aussi : doc 1 (exposé des motifs), docs 2 et 4 (rapports, 0 mention), doc 5 (rapport Sénat n°538, récapitulatif sans motivation) ; docs 7 et 8, rapports au Président des ordonnances 2016-301 (recodification) et 2017-1433 (ajustement rédactionnel, support durable) : 0 mention de l’article — recodification seule, pas la raison. Historique 2001 (ordonnance n°2001-741, création de l’ancien L311-25-1 : dispositif différent, résiliation après rétractation) : dossier JORFDOLE000037320571 sans aucun document au corpus ; récupération tentée et impossible (Légifrance 403 Cloudflare, vie-publique 403 anti-bot, Wayback 404) — trou du corpus, sans portée sur le dispositif actuel écrit en 2010. Recherche corpus sur les mots du dispositif : deux dossiers hors historique (L312-14-2 crédit immobilier à taux variable ; L313-46-1 assurance emprunteur) portent des obligations analogues mais pour d’autres articles — pas de rattachement ; la concordance LEGI de cet article est complète. Proposition de la machine (doc 6, art. 14 : sanctions L311-47) : L311-25-1 n’y figure que parmi les références croisées de la déchéance, cela ne motive pas l’article — passage corrigé. NB outil : bug de motif_de sur les apostrophes (double remplacement ’→['’]) rend tout fragment à apostrophe introuvable pour chercher et rendre ; ancres --debut/--fin choisies sans apostrophe, la citation s’interrompt avant « d’opérations ».",corrigee,agent:glm-5p3-flash,2026-09-19,JORFDOLE000020542090 JORFDOLE000032223954 JORFDOLE000035722724 JORFDOLE000037320571
L433-4,eligible_L12_L15,LEGIARTI000032225352,LOI n°2008-776 du 4 août 2008,JORFDOLE000018730653,JORFDOLE000018730653__l07-413-1_mono.html,1516787,1519803,article,1,JORFDOLE000018730653__l07-413-1_mono.html,1232635,1235474,"Le Conseil national de la consommation, dans l'avis accompagnant le rapport du 17 décembre 2007, consécutif aux propositions présentées en févier 2007 par la Commission européenne en matière de prescriptions relatives à l'accréditation et à la surveillance du marché dans le contexte de la commercialisation des produits, s'est déclaré favorable : - à la reconnaissance du Cofrac comme l'instance off",motive,"Le texte en vigueur est mot pour mot le 1er alinéa de L. 115-28 rédigé par la LOI 2008-776 (LME), art. 36 bis (renuméroté art. 137 dans la loi promulguée, vérifié sur Légifrance JORFTEXT000019283050 : « membre de la coopération européenne pour l'accréditation et ayant signé les accords de reconnaissance mutuelle multilatéraux couvrant la certification considérée ») ; l'ordonnance 2016-301 ne fait que le transporter (l'alinéa transitoire de la LME sur les organismes non encore accrédités est omis à la recodification). Le passage retenu (commentaire de l'article 36 bis par la commission spéciale AN) motive CET article : l'avis du CNC du 17 déc. 2007, consécutif aux propositions de la Commission européenne de fév. 2007 (futur règlement 765/2008), se déclare favorable à l'obligation d'accréditation des organismes de certification « constituant d'une part une garantie et une valeur ajoutée pour les clients… et pour les consommateurs… et d'autre part une garantie d'indépendance, de compétence et de sérieux de l'organisme certificateur, enfin une garantie de surveillance et d'évaluation périodique » ; « Le dispositif adopté par l'Assemblée nationale introduit ces recommandations dans la loi », dont la puce : « modifie l'article L. 115-28 du code de la consommation afin de disposer que seuls peuvent procéder à la certification les organismes qui bénéficient d'une accréditation délivrée par l'instance nationale d'accréditation ou par l'instance nationale d'accréditation d'un autre Etat membre de l'Union européenne, membre de la coopération européenne pour l'accréditation ». La fin déborde sur la puce L. 15-29 (exclusion des produits agricoles) faute de fragment final sans apostrophe (voir note outil). Proposition machine HORS SUJET : elle pointe l'article L433-4 du code MONÉTAIRE ET FINANCIER (offre publique de retrait, article additionnel après art. 42 du même rapport) — même numéro, autre code. Exhaustivité : docs 1-7 du dossier LME consultés (exposé des motifs : 0 mention ; l07-413-1.html = table ; l07-413-2, l07-476.html : rien ; l07-476_mono Sénat : art. 36 bis adopté « Conforme », sans commentaire ; r0908 AN 2e lecture Charié : ne reprend pas l'article, seule occ. « accrédit » = « accréditer l'idée » hors sujet) ; doc 8 (rapport au Président, ord. 2006-1547) ne nomme pas l'article — modif 2006 de pure coordination (renvois au code rural renuméroté), effacée par la LME ; doc 9 (rapport au Président, ord. 2016-301) ne nomme pas l'article, recodification à droit constant, aucun passage consacré au dispositif (mention générique du transfert « label, certification » au livre IV). Lois 93-949, 94-2, 94-442 (sans dossier DOLE) : leurs rédactions (agrément 1993, déclaration 1994) intégralement remplacées par la LME. Recherche corpus (379 docs) par « accords de reconnaissance mutuelle multilatéraux » et « procéder à la certification les organismes » : seul le dossier JORFDOLE000027383756 (loi valorisation des produits agricoles, art. L. 721-8 code rural) CITE L. 115-28 sans avoir produit de version — pas de concordance manquante LEGI (chaîne L115-28→L433-4 déclarée), pas de rattachement utile. Note outil : bug dans motif_de (annoter.py, double replace des apostrophes) — tout fragment contenant une apostrophe est introuvable via chercher/localiser/rendre, ce qui a faussé mes premières recherches (0 occurrence bidon) et contraint le choix des fragments de début/fin sans apostrophe.",corrigee,agent:glm-5p3,2026-09-19,JORFDOLE000018730653 JORFDOLE000021947750 JORFDOLE000032223954
L224-62-1,eligible_L12_L15,LEGIARTI000045205500,LOI n°2022-217 du 21 février 2022,JORFDOLE000043496065,,,,,,externe__L224-62-1__an-cr-2021-12-16-2e-seance-3ds.pdf,130483,131892,"Le problème est tout simple : depuis quatre-vingt-neuf ans, se tient à Strasbourg un événement binational, la Foire européenne. Cela fait donc quatre-vingt-neuf ans que des PME allemandes viennent présenter leurs produits et que certains stands d’artisans allemands présentent des documents en allemand. Tout allait bien jusqu’au jour où la direction générale de la concurrence, de la consommation et",motive,"L224-62-1 est créé par l'article 187 de la loi n° 2022-217 du 21 février 2022 ; l'historique LEGI ne renvoie qu'au dossier JORFDOLE000043496065 (loi 3DS). Les cinq documents du corpus (exposé des motifs, rapport Sénat l20-723, rapport CMP l21-422 et leurs doublons mono) ne mentionnent ni foires/salons, ni GECT, ni la loi Toubon : le dispositif est absent du fonds. J'ai cherché hors corpus : le texte adopté par l'AN (T.A. n° 738, 4 janv. 2022) porte à l'article 58 septies l'amendement n° 2022 de M. Waserman (sous-amendement n° 3613 du Gouvernement), et le compte rendu de la 2e séance du 16 décembre 2021 en donne le débat. J'ai importé ce compte rendu (document [6], URL AN). Le passage retenu motive le dispositif : la Foire européenne de Strasbourg, les amendes DGCCRF au titre de la loi Toubon, l'autorisation préfectorale d'user de la langue du voisin, et le consentement écrit du consommateur « protection demandée par Bercy » — soit exactement le dernier membre de phrase de L224-62-1. Réserve : le dispositif de la séance modifiait l'article 2 de la loi du 4 août 1994 ; sa réécriture en article L. 224-62-1 du code de la consommation (renvoi à une manifestation commerciale du code de commerce, GECT) procède d'une navette ultérieure (Sénat nouvelle lecture/CMP) que le corpus ne documente pas — concordance manquante signalée.",aucune,agent:deepseek-v4p1-flash,2026-09-19,JORFDOLE000043496065
L242-14,eligible_L12_L15,LEGIARTI000042155949,LOI n°2014-1545 du 20 décembre 2014,JORFDOLE000029134377,JORFDOLE000029134377__r2145.asp,631000,636682,article,1,JORFDOLE000037775649__l18-310_mono.html,99607,100509,"Les articles 2 ter , 2 quater et 3 de la proposition de loi tendent à relever le montant des sanctions administratives applicables en cas de méconnaissance par les professionnels : - des obligations leur incombant en matière d'informations à délivrer lors d'un appel de démarchage téléphonique (article L. 242-12 du code la consommation) ; - de l'interdiction d'utiliser un numéro masqué pour contact",motive,"[confirmé en relecture par agent:claude-opus-5 le 2026-09-19, verdict de agent:glm-5p3-flash : relecture : le passage désigné porte sur le dispositif de l'article ; la base motive par un autre document du même dossier, ce qui ne contredit pas] Version en vigueur (montants 75 000/375 000) produite par la loi du 24 juillet 2020 : le rapport de la commission des Lois de l'Assemblée nationale sur la proposition de loi visant à encadrer le démarchage téléphonique (n° 3176) consacre sa section « Articles 2 ter, 2 quater et 3 » au relèvement des amendes encourues pour méconnaissance, nomme l'article L. 242-14 et son dispositif (interdiction d'utiliser un numéro masqué) et annonce le passage de 3 000/15 000 à 75 000/375 000 euros, qui est exactement le texte actuel. Le passage motive bien CET article (renforcement des sanctions, avec effet sur la prescription portée à trois ans). Consulté aussi : dossier 2014-1545 (art. 34, création de la sanction de l'ancien L121-34-2 : docs 13, 14 @231657, 15 @634850 et @751241), dossier Hamon 2014 (interdiction créée sans sanction, docs 1-10), ordonnance 2016-301 (rapport au Président doc 17, sans mention de l'article), reste du dossier 2020 (docs 18, 19, 21, 22 sans mention). Concordance LEGI L121-34-2 → L242-14 déclarée : rien de manquant. Réserve : les docs 23 et 24 (r1448.pdf, r2616.pdf) sont des PDF bruts non extraits dans le corpus, leur contenu n'a pas pu être vérifié.",corrigee,agent:claude-opus-5,2026-09-19,JORFDOLE000027383756 JORFDOLE000029134377 JORFDOLE000032223954 JORFDOLE000037775649
L224-38,eligible_L12_L15,LEGIARTI000043545725,LOI n°2011-525 du 17 mai 2011,JORFDOLE000021369332,JORFDOLE000021369332__r3112.asp,78490,81422,article,1,JORFDOLE000017841208__expose-motifs.txt,4298,5464,"Article 7 (Gratuité des temps d'attente on-net » et SAV accessibles via des numéros non-surtaxés) Certains fournisseurs de services de communications électroniques mettent à la disposition des consommateurs des numéros d'appel payants ou surtaxés pour assurer le service après-vente, le traitement de réclamations ou l'assistance technique liés à un contrat principal, mais ne prennent pas en charge ",motive,"[confirmé en relecture par agent:claude-opus-5 le 2026-09-19, verdict de agent:minimax-m3 : relecture : le passage désigné porte sur le dispositif de l'article ; la base motive par un autre document du même dossier, ce qui ne contredit pas] L224-38 vient de L. 121-84-5 créé par la LOI n° 2008-3 du 3 janvier 2008 (cf.versions). L'exposé des motifs du projet (document [1]) ne mentionne pas le numéro L. 121-84-5 (il est numéroté article 7 du projet), mais il motive directement le dispositif en décrivant le problème (numéros d'appel payants ou surtaxés pour le SAV, attente longue et facturée) et la solution (nums non surtaxés + temps d'attente gratuit pour les appels du consommateur vers les services après-vente / réclamations / assistance technique de son opérateur). Ces deux points correspondent aux alinéas 2 (« numéro d'appel non géographique, fixe et non surtaxé »), 3 (« Aucun coût complémentaire... ») et 4 (« aucune somme... tant qu'il n'a pas été mis en relation avec un interlocuteur »). La proposition machine (doc [15] r3112) motive la seule adjonction de 2011 (alinéa « Aucun coût complémentaire »); le passage retenu ici motive le dispositif d'origine du jeu. Doc [17] et [18] (rapports au Président 2016 et 2021) ne nomment pas l'article, donc classés dossier_seulement selon la règle § 3.1 des consignes ; mention=0 dans la fiche pour [1] provient de la recherche du seul numéro L121-84-5 et non de l'intitulé « article 7 » — concordance manquante à signaler.",corrigee,agent:claude-opus-5,2026-09-19,JORFDOLE000017841208 JORFDOLE000021369332 JORFDOLE000032223954 JORFDOLE000043537810
L111-2,eligible_L12_L15,LEGIARTI000032227350,LOI n°2014-344 du 17 mars 2014,JORFDOLE000027383756,JORFDOLE000027383756__l13-282_mono.html,61421,67019,article,1,JORFDOLE000027383756__l12-809-1_mono.html,116529,116880,"L. 111-2 (alinéa 10 et 11) renvoie à un décret en Conseil d'État le soin de préciser les informations complémentaires relatives aux coordonnées du prestataire de service, à son activité et aux autres conditions contractuelles. Le décret précise également celles des informations qui sont communiquées seulement si le client en fait la demande",motive,"Dispositif en vigueur = art. 4 de la loi n°2014-344 du 17 mars 2014 (informations complémentaires du prestataire de services, liste et contenu fixés par décret; informations délivrées à la demande précisées par décret), repris par la recodification de l'ordonnance n°2016-301. Historique suivi : loi 93-949 (création, pièces détachées), loi 2009-526, loi 2010-853 (transposition directive services, II énumératif), loi 2014-344, puis ordonnance 2016-301. Les dossiers 2009 (JORFDOLE000019648575) et 2010 (JORFDOLE000020913188) ne portent que les versions antérieures; le rapport au Président de l'ordonnance (JORFDOLE000032223954, doc 22) ne nomme pas L111-2 et ne consacre aucun passage à son dispositif (donc dossier_seulement s'il fallait s'y tenir). Le passage retenu, dans le rapport de commission du Sénat sur le projet de loi consommation (dossier JORFDOLE000027383756), décrit l'article L.111-2 nouveau (alinéas 10 et 11) : renvoi à un décret en Conseil d'État pour préciser les informations complémentaires (coordonnées, activité, autres conditions) et celles communiquées seulement à la demande du client — soit les deux alinéas de l'article en vigueur. Proposition machine (doc l13-282_mono, art. 4) écartée : elle ne parle que pièces détachées, taxes d'aéroport, étiquetage des viandes et parkings, pas de L111-2; corrigée. Pas de concordance d'ancien numéro manquante (L111-2 est continu depuis 1993).",corrigee,agent:deepseek-v4p1-flash,2026-09-19,JORFDOLE000019648575 JORFDOLE000020913188 JORFDOLE000027383756 JORFDOLE000032223954
L722-16,eligible_L12_L15,LEGIARTI000037670142,LOI n° 2013-672 du 26 juillet 2013,JORFDOLE000026795365,JORFDOLE000026795365__l12-681.html,13989,17495,article,0,JORFDOLE000026795365__l12-422-1_mono.html,604457,604720,"de mettre en oeuvre, en cas d'entrée en procédure de surendettement, la suspension d'un protocole de cohésion sociale prévoyant un apurement des dettes de loyer, ou la substitution des mesures de redressement aux mesures d'apurement prévues par ce protocole",motive,"[confirmé en relecture par agent:claude-opus-5 le 2026-09-19, verdict de agent:deepseek-v4p1-flash : relecture : le passage désigné porte sur le dispositif de l'article ; la base motive par un autre document du même dossier, ce qui ne contredit pas] L722-16 est la recodification (ordonnance n°2016-301 du 14 mars 2016) de l'ancien art. L331-3-1. Le dispositif de l'article — suspension du paiement des arriérés de loyer prévus par un protocole de cohésion sociale et substitution des mesures de redressement — a été écrit par l'art. 22 bis de la loi n°2013-672 du 26 juillet 2013 (dossier JORFDOLE000026795365 ; la fiche donne L331-3-1 comme numéro antérieur et 2013-672 comme texte à l'origine). Le rapport de la commission des finances du Sénat sur ce texte expose précisément cette finalité : doc 30 (l12-422-1_mono, « ARTICLE 22 bis … L. 331-3-1 », II. Le dispositif adopté par l'Assemblée nationale). La version en vigueur a ensuite été complétée par la loi ELAN n°2018-1021, dont le rapport de commission (doc 54, art. 40) explique l'effacement de la dette locative et le passage du protocole à trois ans en cas de rétablissement personnel ; je retiens le passage de 2013, écrit sous l'ancien numéro, qui est à l'origine du dispositif. La proposition de la machine (doc 32, l12-681.html) est hors sujet : simple liste d'en-têtes d'articles. Dossiers parcourus : 2007-290 (création d'un L331-3-1 au contenu depuis remplacé), 2010-737/1249/1609, 2013-672, ord. 2016-301 (doc 49, rapport au Président, ne nomme pas l'article), 2016-1547, 2018-1021.",hors_sujet,agent:claude-opus-5,2026-09-19,JORFDOLE000017758233 JORFDOLE000020132583 JORFDOLE000020542090 JORFDOLE000021490698 JORFDOLE000026795365 JORFDOLE000030962821 JORFDOLE000032223954 JORFDOLE000036769798
L224-66,eligible_L12_L15,LEGIARTI000032226569,LOI n° 2015-992 du 17 août 2015,JORFDOLE000029310724,,,,,,JORFDOLE000027383756__r1574.asp,198983,200119,"Dans la mesure où les agences de voyages assurent plus de la moitié de la commercialisation des billets d'avion, le présent amendement vise à soumettre ces agences aux mêmes dispositions que les transporteurs aériens en matière de remboursement des taxes aéroportuaires, dès lors que le passager a annulé son vol après l'avoir réservé et payé. Une telle disposition serait vraiment de nature à amélio",motive,"[confirmé en relecture par agent:claude-opus-5 le 2026-09-19, verdict de agent:glm-5p3 : relecture : le passage désigné porte sur le dispositif de l'article ; la base motive par un autre document du même dossier, ce qui ne contredit pas] Le dispositif de L. 224-66 a été écrit mot pour mot par la loi Hamon du 17/3/2014 (art. 4 V, création de L. 113-8, texte du JO vérifié sur Légifrance : plafond de 20 %, remboursement gratuit en ligne) ; la loi TECV du 17/8/2015 ne l'a que transféré (art. 77 VII : L. 113-7 et L. 113-8 deviennent L. 121-116 et L. 121-118 dans une nouvelle section 19 « Automobile et transport de personnes » du titre II du livre Ier) et l'ordonnance du 14/3/2016 l'a recodifié à droit constant. Passage désigné : commission des affaires économiques (AN, 2e lecture, rapport n° 1574), examen de l'amendement CE238 de Mme Vautrin défendu par M. Abad et réponse du ministre. Il motive ce que dit l'article : pourquoi il lie aussi « les personnes physiques ou morales commercialisant des titres de transport aérien » (les agences de voyages assurent plus de la moitié de la commercialisation des billets d'avion ; pouvoir d'achat des ménages) ; sa structure en trois obligations (le remboursement, la mise en place d'une procédure sans frais, une information dans les contrats — soit les alinéas de l'article) ; et l'origine du régime des frais : « la procédure gratuite passe par internet et les frais soient limités aux coûts liés aux autres modes de remboursement », d'où les alinéas « Il est gratuit lorsque la demande est déposée en ligne » et « frais excédant 20 % » (rédaction retravaillée avec le gouvernement, adoptée en séance de 2e lecture à l'AN, constatée par le texte Sénat 2e lecture — doc 7 : « assouplissement », gratuit uniquement en ligne, sinon frais jusqu'à 20 % — puis reprise par le compromis CMP, rapport n° 1773, doc 10). Passages complémentaires consultés : r1156 (doc 8) amendement CE 191 de Mme Vautrin, retiré en commission puis repris et adopté en séance AN 1re lecture, qui énonce la raison d'être fondatrice (« ces taxes sont dues par le transporteur aérien uniquement si le passager a effectivement voyagé. Or le consommateur n'est généralement pas remboursé de ces taxes ») ; r1574 et doc 4 pour l'origine du délai de trente jours à compter de la réception (amendement Lamure, Sénat). Recherche exhaustive : docs 1-10 du dossier Hamon (étude d'impact et exposé des motifs muets — disposition née d'amendements) ; docs 11-22 du dossier TECV, aucun ne mentionne le dispositif ni L. 121-118 (pur transfert de numérotation, art. 77 VII vérifié sur le JO via Légifrance) ; doc 23, rapport au Président de l'ordonnance, sans aucun passage sur ce dispositif (n'aurait valu que dossier_seulement) ; corpus entier (372 documents) interrogé sur « transporteurs aériens » et « redevances individualisées » : seul le dossier Hamon porte le dispositif. Concordance à signaler : la fiche donne pour texte à l'origine la loi 2015-992, alors que l'auteur réel du dispositif est la loi Hamon 2014-344 (art. 4 V), la loi TECV n'ayant fait que renuméroter.",aucune,agent:claude-opus-5,2026-09-19,JORFDOLE000027383756 JORFDOLE000029310724 JORFDOLE000032223954
L211-3,eligible_L12_L15,LEGIARTI000032227008,LOI n°2014-344 du 17 mars 2014,JORFDOLE000027383756,JORFDOLE000027383756__r1574.asp,341098,342328,article,1,JORFDOLE000027383756__r1574.asp,341317,342323,"Le nouvel article L. 133-4 du code de la consommation pose le principe selon lequel, sans que cela ne revête en aucun cas de caractère obligatoire, tout consommateur est averti, lors de la conclusion d'un contrat écrit, qu'il peut recourir à une médiation conventionnelle en cas de contestation. L'Assemblée nationale a adopté cet article en y apportant, en séance publique et à l'initiative de votre",motive,"L'article L211-3 a été créé par l'ordonnance n°2016-301 du 14 mars 2016 (recodification), mais il reprend le dispositif de l'ancien article L133-4 créé par la loi n°2014-344 du 17 mars 2014 (loi Hamon, art. 12). Le passage cité provient du rapport de la commission des affaires économiques de l'Assemblée nationale (deuxième lecture, n° 1574 de M. Razzy Hammadi) qui retrace la genèse du futur L. 133-4 et explique pourquoi il dit ce qu'il dit : le texte pose le principe d'une simple information du consommateur (non d'une obligation de recourir à la médiation), l'Assemblée nationale n'y avait apporté qu'une clarification rédactionnelle, et le Sénat a adopté en séance publique un amendement du groupe UMP afin de laisser au professionnel l'initiative de cette information — c'est précisément ce qui explique le wording actuel de L211-3 (""le consommateur est informé par le professionnel""). Le rapport au Président de l'ordonnance de recodification (doc 11) ne nomme pas l'article et vaut donc dossier_seulement (règle du 19/09/2026) ; il confirme à droit constant la modification sénatoriale. Concordance LEGI ancienne→nouveau (L133-4 → L211-3) bien déclarée ; le dossier de l'ordonnance ne contient que le rapport au Président mais pas les travaux préparatoires, qui restent dans le dossier de la loi Hamon.",corrigee,agent:minimax-m3,2026-09-19,JORFDOLE000027383756 JORFDOLE000032223954
L312-83,eligible_L12_L15,LEGIARTI000032226000,LOI n°2014-344 du 17 mars 2014,JORFDOLE000027383756,JORFDOLE000027383756__l12-809-1_mono.html,295471,300418,article,1,JORFDOLE000027383756__l12-809-1_mono.html,297256,297490,"plein droit à cette date. Lorsque l'ouverture de crédit est assortie de l'usage d'une carte de crédit, le prélèvement de la cotisation liée au bénéfice de ce moyen de paiement ne fait pas obstacle à la mise en oeuvre du présent alinéa",motive,"L'article L312-83 (ex-L311-16) dispose que le prélèvement de la cotisation de carte de crédit ne fait pas obstacle à la résiliation automatique des lignes de crédit renouvelable inactives. Le rapport de commission (document 55, JORFDOLE000027383756__l12-809-1_mono.html) du dossier législatif de la loi n°2013-672 explique expressément cette disposition dans son commentaire de l'article 19 (L.311-16) : il décrit le dispositif d'extinction des lignes inactives (résiliation au bout de deux ans d'inactivité) et précise que le prélèvement de la cotisation de carte ne fait pas obstacle à cette mise en œuvre. Ce passage motive directement le dispositif de L312-83. Consulté : fiche, versions (historique depuis 1993), documents 52-63 du dossier 27383756 (loi 2013), corpus pour L312-83/L311-16/cotisation/carte de crédit. Concordance manquante signalée : LEGI ne déclare pas explicitement la filiation L311-16 (2013) → L312-83 (2016), mais l'historique de la fiche et le rapport de commission le confirment.",corrigee,agent:nemotron-3-ultra-nvfp4,2026-09-19,JORFDOLE000017759076 JORFDOLE000017760197 JORFDOLE000020542090 JORFDOLE000021490698 JORFDOLE000024684762 JORFDOLE000026795365 JORFDOLE000027383756 JORFDOLE000032036173 JORFDOLE000032223954
L751-6,eligible_L12_L15,LEGIARTI000049398709,LOI n°2010-737 du 1er juillet 2010,JORFDOLE000020542090,JORFDOLE000020542090__r2150.asp,571331,572290,article,0,JORFDOLE000020542090__l08-447_mono.html,821992,823801,"En revanche, votre commission spéciale estime indispensable que le nouveau fonctionnement du FICP assure, dans des conditions de fiabilité optimale, une traçabilité de la consultation des données du FICP par les établissements de crédit et les organismes octroyant du crédit, en particulier lors de l'octroi d'un nouveau crédit à une personne physique. En effet, dès lors que l'article L. 311-9 du co",motive,"motive : le 2e alinéa de L. 751-6 (ex-L. 333-5) — l'arrêté détermine aussi les modalités de justification de la consultation du FICP — a été écrit par l'art. 27 ter de la loi 2010-737 (texte d'origine de la fiche), à l'initiative du rapporteur du Sénat. Le rapport Sénat de première lecture (doc 16, l08-447_mono, art. 27 ter) y donne la chaîne causale complète : l'obligation de consulter le FICP (art. L. 311-9 issu de l'art. 4 du texte) rend nécessaire la vérification de son respect (« traçabilité »), d'où un article additionnel complétant L. 333-5 pour imposer au pouvoir réglementaire de définir ces modalités, le choix du système (certificat de consultation ou conservation des données par l'établissement) étant renvoyé à l'arrêté en raison de la technicité de la matière. La proposition de la machine (doc 19, r2150.asp, art. 27 ter côté AN, 571331-572290) est le résumé concordant du même dispositif. Historique suivi en entier : loi 93-949 (codification à droit constant, aucun dossier DOLE ni document au corpus) — concordance manquante signalée : L. 333-5 provient en réalité de l'art. 23 al. 8 de la loi 89-1010 du 31.12.1989, comme l'établit la table de concordance du rapport Sénat Robert n° 312 1992-93 détenu par le corpus (externe:L431-7, non rattachable faute de dossier DOLE) ; loi 89-1010 : rapport Sénat Simonin n° 40 1989-90 (externe:L732-2) consulté — le fichier y est introduit par amendement du Gouvernement sur avis de la CNIL, examen différé en commission, aucune motivation de l'alinéa « modalités » ; LSF 2003 (JORFDOLE000017760197) : réécriture de l'alinéa 1er (règlement du CRBF remplacé par un arrêté du ministre) par pure coordination de la disparition du CRBF (exposé des motifs du dossier), l'amendement « I bis » (l02-319_mono, 584385) étant reproduit sans motivation propre ; ordonnance 2016-301 : rapport au Président (doc 20) sans aucune mention du fichier ni du dispositif ; loi 2024-322 : simple coordination rédactionnelle (« au premier alinéa de » remplacé par « à », doc 26, 90257). Recherches corpus (« incidents de remboursement des crédits aux particuliers », « comité de la réglementation bancaire ») : aucun dossier antérieur à 1993 ; rien à rattacher.",corrigee,agent:glm-5p3,2026-09-19,JORFDOLE000017760197 JORFDOLE000020542090 JORFDOLE000032223954 JORFDOLE000048559623
