id_jorf	titre
JORFTEXT000000412199	LOI n° 2003-239 du 18 mars 2003 pour la sécurité intérieure (1)
JORFTEXT000000414057	Décret n° 2002-1025 du 1er août 2002 modifiant les dispositions du code de la consommation relatives à l'étiquetage des denrées alimentaires
JORFTEXT000000414455	LOI n° 2003-721 du 1er août 2003 pour l'initiative économique (1)
JORFTEXT000000418575	Décret n° 2003-137 du 18 février 2003 instituant des sanctions pour la violation de dispositions relatives aux contrats conclus à distance et modifiant le code de la consommation
JORFTEXT000000419274	Décret n° 2003-542 du 23 juin 2003 relatif à la juridiction de proximité et modifiant le code de l'organisation judiciaire, le nouveau code de procédure civile, le code de procédure pénale (deuxième partie : Décrets en Conseil d'Etat) et le décret n° 91-1266 du 19 décembre 1991 portant application de la loi n° 91-647 du 10 juillet 1991 relative à l'aide juridique
JORFTEXT000000428977	LOI n° 2003-706 du 1er août 2003 de sécurité financière (1)
JORFTEXT000000428979	LOI n° 2003-710 du 1er août 2003 d'orientation et de programmation pour la ville et la rénovation urbaine (1)
JORFTEXT000000430253	Décret n° 2003-907 du 22 septembre 2003 modifiant les dispositions du code de la consommation relatives à l'étiquetage des denrées alimentaires
JORFTEXT000000439399	LOI n° 2004-669 du 9 juillet 2004 relative aux communications électroniques et aux services de communication audiovisuelle (1)
JORFTEXT000000441676	LOI n° 2004-801 du 6 août 2004 relative à la protection des personnes physiques à l'égard des traitements de données à caractère personnel et modifiant la loi n° 78-17 du 6 janvier 1978 relative à l'informatique, aux fichiers et aux libertés (1)
JORFTEXT000000446769	LOI n° 2005-516 du 20 mai 2005 relative à la régulation des activités postales (1)
JORFTEXT000000447729	Ordonnance n° 2005-1086 du 1er septembre 2005 instaurant un règlement transactionnel pour les contraventions au code de commerce et au code de la consommation et portant adaptation des pouvoirs d'enquête et renforcement de la coopération administrative en matière de protection des consommateurs
JORFTEXT000000451781	Décret n° 2005-1007 du 2 août 2005 relatif à la partie réglementaire du code monétaire et financier Les dispositions réglementaires du code monétaire et financier font l'objet d'une publication spéciale annexée au Journal officiel de ce jour (voir à la fin du sommaire)
JORFTEXT000000452052	Loi n° 2005-882 du 2 août 2005 en faveur des petites et moyennes entreprises
JORFTEXT000000454092	Décret n° 2005-1701 du 27 décembre 2005 portant modification des livres II et V de la partie Réglementaire du code de la consommation
JORFTEXT000000456019	LOI n° 2006-10 du 5 janvier 2006 relative à la sécurité et au développement des transports (1)
JORFTEXT000000462914	LOI n° 2006-1537 du 7 décembre 2006 relative au secteur de l'énergie (1)
JORFTEXT000000462918	Décret n° 2006-1540 du 6 décembre 2006 pris en application de l'article L. 314-10 du code de la consommation relatif au remboursement anticipé des prêts viagers hypothécaires
JORFTEXT000000465978	Ordonnance n° 2007-329 du 12 mars 2007 relative au code du travail (partie législative)
JORFTEXT000000529228	LOI n° 93-949 du 26 juillet 1993 relative au code de la consommation (partie Législative) (1)
JORFTEXT000000545890	LOI no 94-2 du 3 janvier 1994 relative à la reconnaissance de qualité des produits agricoles et alimentaires (1)
JORFTEXT000000556994	Décret no 98-879 du 29 septembre 1998 modifiant les dispositions réglementaires du code de la consommation relatives à l'étiquetage des denrées alimentaires
JORFTEXT000000567293	Décret no 99-1012 du 2 décembre 1999 fixant les modalités de recouvrement de la cotisation mentionnée à l'article L. 380-2 du code de la sécurité sociale et modifiant ce code (deuxième partie : Décrets en Conseil d'Etat)
JORFTEXT000000572504	LOI no 98-566 du 8 juillet 1998 portant transposition de la directive 94/47/CE du Parlement européen et du Conseil du 26 octobre 1994 concernant la protection des acquéreurs pour certains aspects des contrats portant sur l'acquisition d'un droit d'utilisation à temps partiel de biens immobiliers (1)
JORFTEXT000000573437	LOI no 98-535 du 1er juillet 1998 relative au renforcement de la veille sanitaire et du contrôle de la sécurité sanitaire des produits destinés à l'homme (1)
JORFTEXT000000581002	LOI n° 2001-1276 du 28 décembre 2001 de finances rectificative pour 2001 (1)
JORFTEXT000000584013	Décret n° 2000-705 du 20 juillet 2000 modifiant les dispositions réglementaires du code de la consommation relatives à l'étiquetage des denrées alimentaires
JORFTEXT000000587517	LOI no 2001-6 du 4 janvier 2001 portant diverses dispositions d'adaptation au droit communautaire en matière de santé des animaux et de qualité sanitaire des denrées d'origine animale et modifiant le code rural (1)
JORFTEXT000000589924	LOI no 2001-504 du 12 juin 2001 tendant à renforcer la prévention et la répression des mouvements sectaires portant atteinte aux droits de l'homme et aux libertés fondamentales (1)
JORFTEXT000000590436	Ordonnance n° 2001-741 du 23 août 2001 portant transposition de directives communautaires et adaptation au droit communautaire en matière de droit de la consommation
JORFTEXT000000606011	LOI n° 2005-67 du 28 janvier 2005 tendant à conforter la confiance et la protection du consommateur (1)
JORFTEXT000000607494	LOI n° 2006-406 du 5 avril 2006 relative à la garantie de conformité du bien au contrat due par le vendeur au consommateur et à la responsabilité du fait des produits défectueux (1)
JORFTEXT000000607545	Décret n° 2006-936 du 27 juillet 2006 relatif aux procédures de saisie immobilière et de distribution du prix d'un immeuble
JORFTEXT000000615190	Décret n° 2006-1675 du 22 décembre 2006 relatif à la répartition des missions d'expertise du Conseil supérieur d'hygiène publique de France entre le Haut Conseil de la santé publique et les agences de sécurité sanitaire
JORFTEXT000000615822	Ordonnance n° 2006-1224 du 5 octobre 2006 prise pour l'application du II de l'article 71 de la loi n° 2006-11 du 5 janvier 2006 d'orientation agricole
JORFTEXT000000615920	Décret n° 2004-180 du 24 février 2004 relatif à la procédure de traitement des situations de surendettement des particuliers et modifiant le titre III du livre III du code de la consommation (partie Réglementaire)
JORFTEXT000000616030	Décret n° 2007-43 du 10 janvier 2007 relatif au traitement des situations de surendettement des personnes physiques à Mayotte et en Nouvelle-Calédonie
JORFTEXT000000619209	Décret n° 2007-1480 du 16 octobre 2007 portant modification du livre II de la partie réglementaire du code de la consommation
JORFTEXT000000624350	Ordonnance n° 2004-824 du 19 août 2004 relative au traitement des situations de surendettement des personnes physiques à Mayotte, en Nouvelle-Calédonie, en Polynésie française et dans les îles Wallis et Futuna
JORFTEXT000000627388	Décret n° 2004-947 du 1er septembre 2004 portant abrogation de l'article D. 225-1 du code de la consommation
JORFTEXT000000632799	LOI n° 2005-841 du 26 juillet 2005 relative au développement des services à la personne et portant diverses mesures en faveur de la cohésion sociale (1)
JORFTEXT000000634595	Décret n° 2005-1450 du 25 novembre 2005 relatif à la commercialisation à distance de services financiers auprès des consommateurs
JORFTEXT000000639090	Ordonnance n° 2006-346 du 23 mars 2006 relative aux sûretés
JORFTEXT000000639476	Ordonnance n° 2006-461 du 21 avril 2006 réformant la saisie immobilière
JORFTEXT000000639651	LOI n° 2006-387 du 31 mars 2006 relative aux offres publiques d'acquisition (1)
JORFTEXT000000639701	Décret n° 2006-665 du 7 juin 2006 relatif à la réduction du nombre et à la simplification de la composition de diverses commissions administratives
JORFTEXT000000649171	LOI n° 2006-1772 du 30 décembre 2006 sur l'eau et les milieux aquatiques (1)
JORFTEXT000000713621	LOI no 94-442 du 3 juin 1994 modifiant le code de la consommation en ce qui concerne la certification des produits industriels et des services et la commercialisation de certains produits (1)
JORFTEXT000000740530	LOI n° 98-405 du 25 mai 1998 déterminant les conditions juridiques de l'exercice de la profession d'artisan boulanger (1)
JORFTEXT000000751904	Loi n° 97-1051 du 18 novembre 1997 d'orientation sur la pêche maritime et les cultures marines
JORFTEXT000000754945	LOI n° 98-565 du 8 juillet 1998 relative à la partie Législative du livre VI (nouveau) du code rural (1)
JORFTEXT000000765204	Loi n° 2000-516 du 15 juin 2000 renforçant la protection de la présomption d'innocence et les droits des victimes
JORFTEXT000000778655	Décret n° 2002-927 du 10 juin 2002 relatif au calcul du taux effectif global applicable au crédit à la consommation et portant modification du code de la consommation
JORFTEXT000000785945	Décret n° 2005-249 du 14 mars 2005 portant modification d'articles du code de la consommation relatifs au Conseil national de la consommation
JORFTEXT000000787078	LOI n° 2004-806 du 9 août 2004 relative à la politique de santé publique (1)
JORFTEXT000000787131	Ordonnance n° 2004-1173 du 4 novembre 2004 portant adaptation de certaines dispositions du code de commerce au droit communautaire de la concurrence
JORFTEXT000000789598	Ordonnance n° 2005-428 du 6 mai 2005 relative aux incapacités en matière commerciale et à la publicité du régime matrimonial des commerçants
JORFTEXT000000793150	Arrêté du 19 décembre 2006 fixant les modèles types d'offres préalables de crédit et de bordereau détachable de rétractation en application des articles L. 311-13 et L. 311-15 du code de la consommation
JORFTEXT000000801164	LOI n° 2004-575 du 21 juin 2004 pour la confiance dans l'économie numérique
JORFTEXT000000801603	Ordonnance n° 2004-670 du 9 juillet 2004 portant transposition de la directive 2001/95/CE sur la sécurité générale des produits et adaptation de la législation au droit communautaire en matière de sécurité et de conformité des produits
JORFTEXT000000803875	Ordonnance n° 2004-637 du 1er juillet 2004 relative à la simplification de la composition et du fonctionnement des commissions administratives et à la réduction de leur nombre
JORFTEXT000000804624	Décret n° 2004-836 du 20 août 2004 portant modification de la procédure civile
JORFTEXT000000806166	LOI n° 2005-32 du 18 janvier 2005 de programmation pour la cohésion sociale (1)
JORFTEXT000000815269	Décret n° 2005-1678 du 28 décembre 2005 relatif à la procédure civile, à certaines procédures d'exécution et à la procédure de changement de nom
JORFTEXT000000820026	Ordonnance n° 2006-1547 du 7 décembre 2006 relative à la valorisation des produits agricoles, forestiers ou alimentaires et des produits de la mer
JORFTEXT000000822203	Arrêté du 14 mai 2007 fixant les modèles types d'offres préalables de crédit et de bordereau détachable de rétractation en application des articles L. 311-13 et L. 311-15 du code de la consommation
JORFTEXT000017661897	LOI n° 2007-1774 du 17 décembre 2007 portant diverses dispositions d'adaptation au droit communautaire dans les domaines économique et financier (1)
JORFTEXT000017727195	LOI n° 2007-1787 du 20 décembre 2007 relative à la simplification du droit (1)
JORFTEXT000017733409	Décret n° 2007-1802 du 21 décembre 2007 modifiant l'annexe IV du chapitre II du titre Ier du livre Ier du code de la consommation (partie réglementaire) concernant la liste des ingrédients allergènes majeurs devant figurer sur l'étiquetage des denrées alimentaires
JORFTEXT000017750112	LOI n° 2007-1821 du 24 décembre 2007 ratifiant l'ordonnance n° 2006-1547 du 7 décembre 2006 relative à la valorisation des produits agricoles, forestiers ou alimentaires et des produits de la mer (1)
JORFTEXT000017785995	LOI n° 2008-3 du 3 janvier 2008 pour le développement de la concurrence au service des consommateurs (1)
JORFTEXT000017942023	LOI n° 2008-66 du 21 janvier 2008 relative aux tarifs réglementés d'électricité et de gaz naturel (1)
JORFTEXT000018442415	Décret n° 2008-244 du 7 mars 2008 relatif au code du travail (partie réglementaire)
JORFTEXT000018778173	Décret n° 2008-449 du 7 mai 2008 relatif au calcul du taux effectif global pour les avances réalisées dans le cadre d'un contrat d'affacturage
JORFTEXT000018837937	Décret n° 2008-484 du 22 mai 2008 relatif à la procédure devant la Cour de cassation
JORFTEXT000019013696	LOI n° 2008-561 du 17 juin 2008 portant réforme de la prescription en matière civile (1)
JORFTEXT000019278040	Décret n° 2008-763 du 30 juillet 2008 modifiant les articles R. 141-4 et R. 141-5 du code de la consommation
JORFTEXT000019283050	LOI n° 2008-776 du 4 août 2008 de modernisation de l'économie (1)
JORFTEXT000019354175	Ordonnance n° 2008-810 du 22 août 2008 complétant la transposition de la directive 2001/95/CE du 3 décembre 2001 relative à la sécurité générale des produits
JORFTEXT000019354199	Ordonnance n° 2008-811 du 22 août 2008 relative aux contrôles de conformité portant sur les aliments pour animaux, les denrées alimentaires d'origine non animale et les fruits et légumes frais, en provenance des pays tiers à la Communauté européenne
JORFTEXT000019735750	Décret n° 2008-1153 du 7 novembre 2008 modifiant l'annexe IV mentionnée à l'article R. 112-16-1 du code de la consommation, concernant la liste des ingrédients allergènes majeurs devant figurer sur l'étiquetage des denrées alimentaires
JORFTEXT000019758031	Ordonnance n° 2008-1161 du 13 novembre 2008 portant modernisation de la régulation de la concurrence
JORFTEXT000019860428	LOI n° 2008-1249 du 1er décembre 2008 généralisant le revenu de solidarité active et réformant les politiques d'insertion (1)
JORFTEXT000019992087	Décret n° 2008-1401 du 19 décembre 2008 relatif à l'accréditation et à l'évaluation de conformité pris en application de l'article 137 de la loi n° 2008-776 du 4 août 2008 de modernisation de l'économie
JORFTEXT000020414100	Décret n° 2009-302 du 18 mars 2009 portant application de l'article L. 132-1 du code de la consommation
JORFTEXT000020521930	Décret n° 2009-404 du 15 avril 2009 relatif au revenu de solidarité active
JORFTEXT000020604162	LOI n° 2009-526 du 12 mai 2009 de simplification et de clarification du droit et d'allègement des procédures (1)
JORFTEXT000020671201	LOI n° 2009-594 du 27 mai 2009 pour le développement économique des outre-mer (1)
JORFTEXT000020756086	Décret n° 2009-716 du 18 juin 2009 relatif aux traitements automatisés de données à caractère personnel accompagnant la mise en œuvre du revenu de solidarité active et portant diverses dispositions de coordination
JORFTEXT000020856747	Ordonnance n° 2009-866 du 15 juillet 2009 relative aux conditions régissant la fourniture de services de paiement et portant création des établissements de paiement
JORFTEXT000020893055	LOI n° 2009-888 du 22 juillet 2009 de développement et de modernisation des services touristiques (1)
JORFTEXT000020988045	Décret n° 2009-996 du 20 août 2009 relatif à l'étiquetage et au contenu du cahier des charges d'une appellation d'origine, d'une indication géographique protégée ou d'une spécialité traditionnelle garantie
JORFTEXT000021014048	Décret n° 2009-1083 du 1er septembre 2009 portant application du code de la consommation en ce qui concerne les mesures d'exécution prévues à l'article L. 214-1 de ce code
JORFTEXT000021125518	Décret n° 2009-1195 du 7 octobre 2009 mettant la partie réglementaire du code rural en conformité avec la réglementation communautaire en matière vitivinicole et portant diverses adaptations
JORFTEXT000021296548	Décret n° 2009-1429 du 20 novembre 2009 relatif au Conseil national de l'alimentation
JORFTEXT000021451610	LOI n° 2009-1503 du 8 décembre 2009 relative à l'organisation et à la régulation des transports ferroviaires et portant diverses dispositions relatives aux transports (1)
JORFTEXT000021637168	Ordonnance n° 2010-11 du 7 janvier 2010 portant extension et adaptation de l'ordonnance n° 2009-866 du 15 juillet 2009 relative aux conditions régissant la fourniture de services de paiement et portant création des établissements de paiement à la Nouvelle-Calédonie, à la Polynésie française et aux îles Wallis et Futuna
JORFTEXT000021637409	Ordonnance n° 2010-18 du 7 janvier 2010 portant création d'une agence nationale chargée de la sécurité sanitaire de l'alimentation, de l'environnement et du travail
JORFTEXT000021838449	Décret n° 2010-146 du 16 février 2010 modifiant le décret n° 2004-374 du 29 avril 2004 relatif aux pouvoirs des préfets, à l'organisation et à l'action des services de l'Etat dans les régions et départements
JORFTEXT000021868310	Ordonnance n° 2010-177 du 23 février 2010 de coordination avec la loi n° 2009-879 du 21 juillet 2009 portant réforme de l'hôpital et relative aux patients, à la santé et aux territoires
JORFTEXT000021965558	Décret n° 2010-257 du 12 mars 2010 pris pour l'application de l'ordonnance n° 2009-866 du 15 juillet 2009 relative aux conditions régissant la fourniture de services de paiement et portant création des établissements de paiement
JORFTEXT000022165701	Ordonnance n° 2010-420 du 27 avril 2010 portant adaptation de dispositions résultant de la fusion de la direction générale des impôts et de la direction générale de la comptabilité publique
JORFTEXT000022176494	Ordonnance n° 2010-460 du 6 mai 2010 relative à la modernisation des missions d'inspection et de contrôle et à la mise en cohérence de diverses dispositions du livre II du code rural
JORFTEXT000022176626	Ordonnance n° 2010-461 du 6 mai 2010 portant adaptation des renvois à des dispositions réglementaires d'application dans la partie législative du code rural
JORFTEXT000022176680	Ordonnance n° 2010-462 du 6 mai 2010 créant un livre IX du code rural relatif à la pêche maritime et à l'aquaculture marine
JORFTEXT000022363168	Décret n° 2010-671 du 18 juin 2010 relatif à la signature électronique et numérique en matière pénale et modifiant certaines dispositions de droit pénal et de procédure pénale
JORFTEXT000022419094	LOI n° 2010-737 du 1er juillet 2010 portant réforme du crédit à la consommation (1)
JORFTEXT000022470434	LOI n° 2010-788 du 12 juillet 2010 portant engagement national pour l'environnement (1)
JORFTEXT000022481192	Décret n° 2010-801 du 13 juillet 2010 relatif à la représentation des associations de défense des consommateurs et aux institutions de la consommation
JORFTEXT000022511227	LOI n° 2010-853 du 23 juillet 2010 relative aux réseaux consulaires, au commerce, à l'artisanat et aux services
JORFTEXT000022521587	LOI n° 2010-874 du 27 juillet 2010 de modernisation de l'agriculture et de la pêche (1)
JORFTEXT000022753140	Décret n° 2010-1004 du 30 août 2010 relatif au seuil déterminant le régime applicable aux opérations de regroupement de crédits
JORFTEXT000022753156	Décret n° 2010-1005 du 30 août 2010 prévu à l'article L. 311-4 du code de la consommation tel que modifié par l'article 4 de la loi n° 2010-737 du 1er juillet 2010 portant réforme du crédit à la consommation relatif au contenu et aux modalités de présentation de l'exemple représentatif utilisé pour les publicités portant sur des crédits renouvelables et fixant les modalités d'entrée en vigueur de l'article 4 de cette même loi
JORFTEXT000022758606	Décret n° 2010-1010 du 30 août 2010 relatif à la désignation des autorités administratives compétentes pour transiger ou saisir la juridiction civile ou administrative en matière de consommation et de concurrence et représenter le ministre chargé de l'économie pour l'application de l'article L. 470-5 du code de commerce
JORFTEXT000022876459	Décret n° 2010-1165 du 1er octobre 2010 relatif à la conciliation et à la procédure orale en matière civile, commerciale et sociale
JORFTEXT000022927432	Décret n° 2010-1221 du 18 octobre 2010 relatif à l'organisation et au fonctionnement de l'Institut national de la consommation et des commissions placées auprès de cet institut
JORFTEXT000022940663	Loi n° 2010-1249 du 22 octobre 2010 de régulation bancaire et financière (1)
JORFTEXT000022973008	Décret n° 2010-1304 du 29 octobre 2010 relatif aux procédures de traitement des situations de surendettement des particuliers
JORFTEXT000023152769	Décret n° 2010-1461 du 30 novembre 2010 fixant la liste des pièces justificatives prévues à l'article L. 311-10 du code de la consommation
JORFTEXT000023152783	Décret n° 2010-1462 du 30 novembre 2010 fixant les seuils nécessaires à l'application des articles 6 et 11 de la loi n° 2010-737 du 1er juillet 2010 portant réforme du crédit à la consommation
JORFTEXT000023174854	LOI n° 2010-1488 du 7 décembre 2010 portant nouvelle organisation du marché de l'électricité (1)
JORFTEXT000023215692	Ordonnance n° 2010-1512 du 9 décembre 2010 portant adaptation du droit des entreprises en difficulté et des procédures de traitement des situations de surendettement à l'entrepreneur individuel à responsabilité limitée
JORFTEXT000023273986	Loi n° 2010-1609 du 22 décembre 2010 relative à l'exécution des décisions de justice, aux conditions d'exercice de certaines professions réglementées et aux experts judiciaires (1)
JORFTEXT000023367755	LOI n° 2011-12 du 5 janvier 2011 portant diverses dispositions d'adaptation de la législation au droit de l'Union européenne (1)
JORFTEXT000023502888	Décret n° 2011-135 du 1er février 2011 relatif aux modalités de calcul du taux effectif global
JORFTEXT000023502920	Décret n° 2011-136 du 1er février 2011 relatif à l'information précontractuelle et aux conditions contractuelles en matière de crédit à la consommation
JORFTEXT000023685606	Décret n° 2011-255 du 9 mars 2011 modifiant le chapitre IV du titre Ier du livre II du code de la consommation et le décret n° 94-1212 du 26 décembre 1994 pris pour l'application du code de la consommation en ce qui concerne le mode de production biologique des produits agricoles et sa mention sur les produits agricoles et les denrées alimentaires
JORFTEXT000023751625	Décret n° 2011-304 du 22 mars 2011 déterminant les modalités du remboursement minimal du capital emprunté à chaque échéance pour les crédits renouvelables
JORFTEXT000023759757	Ordonnance n° 2011-322 du 24 mars 2011 portant extension et adaptation en Nouvelle-Calédonie, dans les îles Wallis et Futuna, à Mayotte, à Saint-Pierre-et-Miquelon, à Saint-Barthélemy et à Saint-Martin de la législation relative à l'entrepreneur individuel à responsabilité limitée
JORFTEXT000023781609	Décret n° 2011-338 du 29 mars 2011 portant modification de l'organisation judiciaire dans le Département de Mayotte
JORFTEXT000023850479	Décret n° 2011-385 du 11 avril 2011 tirant les conséquences, au niveau réglementaire, de l'intervention de l'ordonnance n° 2010-18 du 7 janvier 2010 portant création d'une agence nationale chargée de la sécurité sanitaire de l'alimentation, de l'environnement et du travail
JORFTEXT000024021430	LOI n° 2011-525 du 17 mai 2011 de simplification et d'amélioration de la qualité du droit
JORFTEXT000024228903	Décret n° 2011-708 du 21 juin 2011 modifiant le code de la consommation en ce qui concerne la mise sur le marché et l'utilisation des aliments pour animaux
JORFTEXT000024269684	Décret n° 2011-741 du 28 juin 2011 relatif au transfert du contentieux du surendettement du juge de l'exécution au juge du tribunal d'instance
JORFTEXT000024363244	Ordonnance n° 2011-840 du 15 juillet 2011 relative à la mise en conformité des dispositions nationales avec le droit de l'Union européenne sur la mise sur le marché et l'utilisation des produits phytopharmaceutiques
JORFTEXT000024463044	Décret n° 2011-949 du 10 août 2011 modifiant le code de la consommation en ce qui concerne les additifs, les enzymes et les arômes destinés à l'alimentation humaine
JORFTEXT000024502658	Ordonnance n° 2011-1012 du 24 août 2011 relative aux communications électroniques
JORFTEXT000024602249	Décret n° 2011-1202 du 28 septembre 2011 relatif au droit affecté au fonds d'indemnisation de la profession d'avoué près les cours d'appel et à la contribution pour l'aide juridique
JORFTEXT000024691103	Ordonnance n° 2011-1327 du 20 octobre 2011 portant extension et adaptation des dispositions relatives au crédit immobilier et au prêt viager hypothécaire en Nouvelle-Calédonie et en Polynésie française et à la fourniture de services financiers à distance dans ces collectivités et dans les îles Wallis et Futuna
JORFTEXT000024960344	Loi n° 2011-1862 du 13 décembre 2011 relative à la répartition des contentieux et à l'allègement de certaines procédures juridictionnelles (1)
JORFTEXT000024968274	Décret n° 2011-1871 du 13 décembre 2011 relatif aux exigences minimales auxquelles doit répondre la formation mentionnée au troisième alinéa de l'article L. 311-8 du code de la consommation
JORFTEXT000024978695	Ordonnance n° 2011-1875 du 15 décembre 2011 portant extension de la loi n° 2010-1609 du 22 décembre 2010 en Nouvelle-Calédonie, en Polynésie française et dans les îles Wallis et Futuna
JORFTEXT000025005833	LOI n° 2011-1906 du 21 décembre 2011 de financement de la sécurité sociale pour 2012 (1)
JORFTEXT000025053440	LOI n° 2011-2012 du 29 décembre 2011 relative au renforcement de la sécurité sanitaire du médicament et des produits de santé
JORFTEXT000025540947	LOI n° 2012-375 du 19 mars 2012 relative à l'organisation du service et à l'information des passagers dans les entreprises de transport aérien de passagers et à diverses dispositions dans le domaine des transports (1)
JORFTEXT000025553296	LOI n° 2012-387 du 22 mars 2012 relative à la simplification du droit et à l'allégement des démarches administratives (1)
JORFTEXT000025554309	Décret n° 2012-390 du 21 mars 2012 relatif à l'hygiène des produits, denrées alimentaires et aliments pour animaux mentionnés au 5° de l'article L. 214-1 du code de la consommation
